====== 100 keV H into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.=  H(100 keV) ==> GaAs(  2 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 100 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 746322.E-02 A   Straggling = 126255.E-02 A
 Ion Lateral Range = 136924.E-02 A   Straggling = 173270.E-02 A
 Ion Radial  Range = 215711.E-02 A   Straggling = 117188.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2000100.E-04 73547993.E-05 73547993.E-05 78117017.E-05 00000000.E+00 
4000100.E-04 38355017.E-04 41588081.E-04 49267532.E-04 22177174.E-04 
6000100.E-04 28686270.E-04 36348502.E-04 40548495.E-04 20038559.E-04 
8000100.E-04 21648915.E-04 31268911.E-04 55167246.E-04 48915812.E-05 
1000010.E-03 24471851.E-04 29067246.E-04 45777222.E-04 13291652.E-04 
1200010.E-03 29958612.E-04 33303083.E-04 46266785.E-04 21659377.E-04 
1400010.E-03 27239564.E-04 29944109.E-04 44913640.E-04 85670198.E-05 
1600010.E-03 46436616.E-04 48143687.E-04 53240265.E-04 16555406.E-04 
1800010.E-03 47257163.E-04 55683737.E-04 49322183.E-04 27965900.E-04 
2000010.E-03 35315572.E-04 41968504.E-04 47990281.E-04 15516327.E-04 
2200010.E-03 26700490.E-04 31190556.E-04 36788034.E-04 15958036.E-04 
2400010.E-03 36256392.E-04 37954022.E-04 43491788.E-04 77517751.E-05 
2600010.E-03 25474319.E-04 32295655.E-04 39307748.E-04 24196014.E-04 
2800010.E-03 30108471.E-04 34220435.E-04 45675098.E-04 19125176.E-04 
3000010.E-03 20537605.E-04 27119187.E-04 35122719.E-04 19687411.E-04 
3200010.E-03 25468508.E-04 29069188.E-04 38592578.E-04 18066634.E-04 
3400010.E-03 25553950.E-04 30279441.E-04 38880717.E-04 18444960.E-04 
3600010.E-03 29569085.E-04 34608442.E-04 43880447.E-04 17736349.E-04 
3800010.E-03 23761739.E-04 28256098.E-04 38349454.E-04 13189896.E-04 
4000010.E-03 26685402.E-04 31094666.E-04 38664174.E-04 17009759.E-04 
4200010.E-03 25950862.E-04 29362233.E-04 39139258.E-04 14751053.E-04 
4400010.E-03 21060050.E-04 25887059.E-04 36123913.E-04 15444013.E-04 
