====== 100 keV H into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.=  H(100 keV) ==> GaAs(  2 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 12 /Ion
 Total Target Displacements = 13 /Ion
 Total Target Replacement Collisions = 0 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
2000100.E-04   0000.000000
4000100.E-04   0000.000002
6000100.E-04   0000.000003
8000100.E-04   0000.000008
1000010.E-03   0000.000014
1200010.E-03   0000.000024
1400010.E-03   0000.000026
1600010.E-03   0000.000013
1800010.E-03   0000.000020
2000010.E-03   0000.000018
2200010.E-03   0000.000014
2400010.E-03   0000.000023
2600010.E-03   0000.000020
2800010.E-03   0000.000021
3000010.E-03   0000.000020
3200010.E-03   0000.000018
3400010.E-03   0000.000023
3600010.E-03   0000.000024
3800010.E-03   0000.000019
4000010.E-03   0000.000033
4200010.E-03   0000.000030
4400010.E-03   0000.000030
4600010.E-03   0000.000029
4800010.E-03   0000.000025
5000010.E-03   0000.000039
5200010.E-03   0000.000035
5400010.E-03   0000.000051
5600010.E-03   0000.000049
5800010.E-03   0000.000050
6000010.E-03   0000.000054
6200010.E-03   0000.000061
6400010.E-03   0000.000048
6600010.E-03   0000.000061
6800010.E-03   0000.000059
7000010.E-03   0000.000066
7200010.E-03   0000.000063
7400010.E-03   0000.000079
7600010.E-03   0000.000061
7800010.E-03   0000.000072
8000010.E-03   0000.000052
8200010.E-03   0000.000040
8400010.E-03   0000.000035
8600010.E-03   0000.000018
8800010.E-03   0000.000019
9000010.E-03   0000.000006
9200010.E-03   0000.000007
9400010.E-03   0000.000003
9600010.E-03   0000.000000
9800010.E-03   0000.000001
1000001.E-02   0000.000000
1020001.E-02   0000.000000
1040001.E-02   0000.000000
1060001.E-02   0000.000000
1080001.E-02   0000.000001
1100001.E-02   0000.000000
1120001.E-02   0000.000000
1140001.E-02   0000.000000
1160001.E-02   0000.000000
1180001.E-02   0000.000000
1200001.E-02   0000.000000
1220001.E-02   0000.000000
1240001.E-02   0000.000000
1260001.E-02   0000.000000
1280001.E-02   0000.000000
1300001.E-02   0000.000000
1320001.E-02   0000.000000
1340001.E-02   0000.000000
1360001.E-02   0000.000000
1380001.E-02   0000.000000
1400001.E-02   0000.000000
1420001.E-02   0000.000000
1440001.E-02   0000.000000
1460001.E-02   0000.000000
1480001.E-02   0000.000000
1500001.E-02   0000.000000
1520001.E-02   0000.000000
1540001.E-02   0000.000000
1560001.E-02   0000.000000
1580001.E-02   0000.000000
1600001.E-02   0000.000000
1620001.E-02   0000.000000
1640001.E-02   0000.000000
1660001.E-02   0000.000000
1680001.E-02   0000.000000
1700001.E-02   0000.000000
1720001.E-02   0000.000000
1740001.E-02   0000.000000
1760001.E-02   0000.000000
1780001.E-02   0000.000000
1800001.E-02   0000.000000
1820001.E-02   0000.000000
1840001.E-02   0000.000000
1860001.E-02   0000.000000
1880001.E-02   0000.000000
1900001.E-02   0000.000000
1920001.E-02   0000.000000
1940001.E-02   0000.000000
1960001.E-02   0000.000000
1980001.E-02   0000.000000
2000001.E-02   0000.000000
