====== 100 keV H into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  H(100 keV) ==> GaAs(  2 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  688840.E-08  194970.E-08
400010.E-03  670813.E-08  421029.E-08
600010.E-03  661008.E-08  801572.E-08
800010.E-03  659932.E-08  115571.E-07
100001.E-02  708709.E-08  209222.E-07
120001.E-02  728177.E-08  267616.E-07
140001.E-02  741768.E-08  397469.E-07
160001.E-02  774696.E-08  201961.E-07
180001.E-02  776670.E-08  274024.E-07
200001.E-02  846220.E-08  269478.E-07
220001.E-02  856729.E-08  227868.E-07
240001.E-02  858672.E-08  295594.E-07
260001.E-02  924936.E-08  312327.E-07
280001.E-02  954237.E-08  283824.E-07
300001.E-02  100779.E-07  316959.E-07
320001.E-02  103123.E-07  304196.E-07
340001.E-02  109383.E-07  328022.E-07
360001.E-02  114978.E-07  374361.E-07
380001.E-02  125676.E-07  352907.E-07
400001.E-02  135883.E-07  453831.E-07
420001.E-02  142421.E-07  481016.E-07
440001.E-02  151662.E-07  445756.E-07
460001.E-02  165810.E-07  453425.E-07
480001.E-02  183027.E-07  504136.E-07
500001.E-02  197249.E-07  566956.E-07
520001.E-02  220648.E-07  614313.E-07
540001.E-02  245277.E-07  668148.E-07
560001.E-02  277872.E-07  728084.E-07
580001.E-02  301848.E-07  765254.E-07
600001.E-02  346005.E-07  892576.E-07
620001.E-02  386205.E-07  964797.E-07
640001.E-02  433576.E-07  986306.E-07
660001.E-02  504827.E-07  109520.E-06
680001.E-02  550467.E-07  114250.E-06
700001.E-02  608491.E-07  123231.E-06
720001.E-02  664991.E-07  132172.E-06
740001.E-02  746714.E-07  132785.E-06
760001.E-02  765325.E-07  125243.E-06
780001.E-02  767057.E-07  121576.E-06
800001.E-02  726600.E-07  110934.E-06
820001.E-02  657762.E-07  919853.E-07
840001.E-02  575169.E-07  724823.E-07
860001.E-02  446954.E-07  543231.E-07
880001.E-02  341758.E-07  409062.E-07
900001.E-02  238463.E-07  248713.E-07
920001.E-02  168275.E-07  159120.E-07
940001.E-02  101433.E-07  991118.E-08
960001.E-02  518240.E-08  488417.E-08
980001.E-02  215714.E-08  203191.E-08
100000.E-01  129517.E-08  118965.E-08
102000.E-01  638722.E-09  521154.E-09
104000.E-01  157111.E-09  231332.E-09
106000.E-01  558660.E-10  519756.E-10
108000.E-01  573477.E-10  883801.E-10
110000.E-01  469996.E-10  661375.E-10
112000.E-01  457355.E-11  816050.E-12
114000.E-01  000000.E+00  000000.E+00
116000.E-01  000000.E+00  000000.E+00
118000.E-01  000000.E+00  000000.E+00
120000.E-01  000000.E+00  000000.E+00
122000.E-01  000000.E+00  000000.E+00
124000.E-01  000000.E+00  000000.E+00
126000.E-01  000000.E+00  000000.E+00
128000.E-01  000000.E+00  000000.E+00
130000.E-01  000000.E+00  000000.E+00
132000.E-01  000000.E+00  000000.E+00
134000.E-01  000000.E+00  000000.E+00
136000.E-01  000000.E+00  000000.E+00
138000.E-01  000000.E+00  000000.E+00
140000.E-01  000000.E+00  000000.E+00
142000.E-01  000000.E+00  000000.E+00
144000.E-01  000000.E+00  000000.E+00
146000.E-01  000000.E+00  000000.E+00
148000.E-01  000000.E+00  000000.E+00
150000.E-01  000000.E+00  000000.E+00
152000.E-01  000000.E+00  000000.E+00
154000.E-01  000000.E+00  000000.E+00
156000.E-01  000000.E+00  000000.E+00
158000.E-01  000000.E+00  000000.E+00
160000.E-01  000000.E+00  000000.E+00
162000.E-01  000000.E+00  000000.E+00
164000.E-01  000000.E+00  000000.E+00
166000.E-01  000000.E+00  000000.E+00
168000.E-01  000000.E+00  000000.E+00
170000.E-01  000000.E+00  000000.E+00
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
