====== 100 keV H into GaAs (sputter) =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
====== TRIM Calc.=  H(100 keV) ==> GaAs(  2 um) ==============================
------------------------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 100  keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+04 A   Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   746.3E+01 A   Straggling =   126.3E+01 A
 Ion Lateral Range =   136.9E+01 A   Straggling =   173.3E+01 A
 Ion Radial  Range =   215.7E+01 A   Straggling =   117.2E+01 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =30
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -001.3827  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 006.6432  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H         Ga         As    
   (Ang.)       Ions     Tgt. Atoms  Tgt. Atoms
-----------  ----------  ----------  ----------
200010.E-03  5.0000E+01  2.5000E+03  2.3500E+03
400010.E-03  2.0000E+02  5.0000E+03  6.3000E+03
600010.E-03  1.5000E+02  1.2300E+04  1.0600E+04
800010.E-03  1.5000E+02  1.6350E+04  1.6450E+04
100001.E-02  3.5000E+02  3.0650E+04  3.2750E+04
120001.E-02  3.0000E+02  4.1900E+04  4.0750E+04
140001.E-02  1.5000E+02  5.9751E+04  5.9601E+04
160001.E-02  2.0000E+02  2.6800E+04  2.8950E+04
180001.E-02  1.5000E+02  3.7550E+04  4.1250E+04
200001.E-02  5.0000E+02  3.8800E+04  3.8800E+04
220001.E-02  6.0000E+02  3.0550E+04  3.2050E+04
240001.E-02  2.5000E+02  4.0750E+04  4.2050E+04
260001.E-02  6.5000E+02  4.0750E+04  4.3951E+04
280001.E-02  4.5000E+02  3.8700E+04  3.8000E+04
300001.E-02  5.5000E+02  4.3901E+04  4.0600E+04
320001.E-02  5.5000E+02  4.0900E+04  3.7750E+04
340001.E-02  8.0000E+02  4.3351E+04  4.4151E+04
360001.E-02  1.1000E+03  5.0351E+04  4.9551E+04
380001.E-02  1.2000E+03  4.9101E+04  4.6051E+04
400001.E-02  1.5000E+03  6.0551E+04  6.2951E+04
420001.E-02  1.4500E+03  6.3351E+04  6.4001E+04
440001.E-02  2.2500E+03  5.9701E+04  5.8001E+04
460001.E-02  2.3000E+03  5.5601E+04  5.9851E+04
480001.E-02  2.5500E+03  6.3601E+04  6.5751E+04
500001.E-02  3.3500E+03  7.5301E+04  7.5901E+04
520001.E-02  4.5500E+03  7.8551E+04  8.0051E+04
540001.E-02  5.2000E+03  8.9202E+04  8.8802E+04
