============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   7.7741E+03 -2.6914E+03  1.4354E+03
0000002   7.3686E+03 -2.8968E+02  1.4380E+03
0000003   6.8300E+03  5.2534E+01  1.0446E+03
0000004   7.3173E+03  1.2166E+03  8.8515E+02
0000005   6.0433E+03 -3.8327E+03  3.3548E+03
0000006   6.1367E+03 -2.0714E+03  1.4283E+03
0000007   6.4802E+03  7.9048E+02 -8.5108E+02
0000008   7.7338E+03 -1.4093E+03  1.0151E+03
0000009   7.6578E+03 -2.0277E+02  3.0600E+03
0000010   7.3616E+03  1.8833E+03  1.2996E+03
0000011   8.7065E+03  3.1051E+03  3.0763E+02
0000012   7.5419E+03 -2.2844E+03  1.9261E+03
0000013   7.2907E+03  7.8033E+02 -3.6985E+03
0000014   8.1843E+03  1.2055E+02 -2.0953E+03
0000015   6.6260E+03 -1.6368E+03 -1.4458E+03
0000016   9.7350E+03  1.1783E+02 -1.9346E+03
0000017   7.8028E+03 -5.4524E+02 -1.6502E+03
0000018   8.0285E+03 -2.0473E+03 -2.1202E+03
0000019   8.4847E+03  4.2947E+02  1.9146E+03
0000020   9.0991E+03  9.1395E+01 -1.7317E+03
0000021   7.1057E+03  5.6243E+02  2.1874E+03
0000022   3.9327E+03  1.7889E+03  6.5463E+03
0000023   7.7742E+03 -6.6694E+02  1.7992E+03
0000024   8.2053E+03  5.0065E+02 -1.4856E+03
0000025   8.5630E+03 -4.0747E+01  5.2931E+02
0000026   6.1385E+03  2.4033E+03  2.9487E+03
0000027   7.8188E+03  1.4924E+03 -1.4499E+03
0000028   6.3002E+03 -5.0034E+02  2.5473E+03
0000029   7.6958E+03 -1.0688E+03  2.0907E+03
0000030   8.5305E+03 -9.8232E+02 -6.1176E+02
0000031   7.4467E+03 -7.2757E+02  1.6763E+03
0000032   7.2700E+03  7.9348E+02 -1.7053E+03
0000033   8.7790E+03  6.3166E+02  9.8882E+02
0000034   7.1365E+03 -1.8917E+02  3.6054E+02
0000035   8.0341E+03 -1.7146E+03  2.3677E+02
0000036   6.5851E+03  1.7175E+03  3.3807E+03
0000037   7.3922E+03  1.0902E+03 -2.0390E+03
0000038   6.7968E+03 -1.5085E+01 -7.9535E+02
0000039   5.4067E+03  5.7279E+01 -9.1461E+02
0000040   5.9570E+03 -2.2805E+03 -3.1053E+03
0000041   8.8503E+03  4.2330E+02  9.6079E+02
0000042   8.7578E+03  7.9465E+02 -9.6898E+02
0000043   8.2165E+03 -5.2966E+02 -7.3042E+02
0000044   7.9345E+03  1.2032E+03  2.4051E+02
0000045   7.2489E+03  2.6203E+03  7.0248E+02
0000046   8.1985E+03  1.0638E+03 -5.5607E+02
0000047   7.4267E+03  3.2600E+02 -2.4334E+03
0000048   6.7924E+03  7.9424E+02  1.2423E+02
0000049   6.4016E+03  2.1638E+03  2.7119E+02
0000050   7.9098E+03  8.0908E+02 -2.9106E+03
0000051   6.6020E+03 -8.7580E+02  2.9187E+03
0000052   8.1916E+03  1.6588E+03  1.6508E+03
0000053   7.5052E+03 -2.2516E+03 -1.3973E+03
0000054   8.1207E+03  8.0040E+02 -6.0040E+02
0000055   7.7903E+03 -5.3940E+01 -3.3068E+03
0000056   7.6088E+03 -1.4430E+03  8.1089E+02
0000057   8.7651E+03  5.1438E+02 -2.5826E+03
0000058   5.2126E+03  3.8136E+03 -4.2534E+01
0000059   6.7949E+03  3.0460E+01  1.7068E+03
0000060   7.9267E+03 -2.5453E+03 -9.6970E+02
0000061   7.6539E+03 -2.5930E+03  6.4838E+02
0000062   7.4753E+03 -3.0975E+03 -3.0928E+03
0000063   7.5971E+03 -6.3334E+02 -6.0019E+02
0000064   7.9597E+03 -5.3239E+02  1.8137E+03
0000065   7.9234E+03  2.5694E+03 -4.2409E+02
0000066   9.0243E+03  5.1518E+01  1.5486E+02
0000067   6.4263E+03 -3.4457E+03  2.1032E+03
0000068   7.8168E+03  3.3544E+02  1.7587E+03
0000069   8.0652E+03 -4.1791E+02  9.5413E+02
0000070   7.7476E+03 -9.6903E+02  1.5392E+03
0000071   8.1175E+03 -3.1319E+02 -1.7432E+03
0000072   8.3292E+03  2.2358E+02  2.2708E+03
0000073   8.6884E+03  3.1043E+02 -1.9308E+01
0000074   7.9148E+03 -4.4472E+02  1.6316E+03
0000075   6.0609E+03  4.7342E+03 -2.2860E+03
0000076   6.4403E+03 -1.1348E+03 -4.0996E+03
0000077   7.4186E+03 -2.9747E+02 -2.2270E+03
0000078   8.0174E+03  2.4947E+03 -6.4336E+02
0000079   8.9621E+03  1.1590E+03  2.1315E+03
0000080   7.8363E+03  9.1840E+02  3.6749E+02
0000081   7.0017E+03 -2.0231E+03  2.7679E+01
0000082   8.9880E+03  2.0587E+03 -1.6623E+03
0000083   7.1691E+03  9.8869E+02 -2.0499E+03
0000084   8.3419E+03 -7.5282E+01 -1.5371E+01
0000085   8.0978E+03 -7.5031E+02 -1.2841E+01
0000086   7.2244E+03  1.4284E+03  6.2663E+02
0000087   8.2497E+03 -1.2755E+03 -8.9228E+02
0000088   7.7494E+03  4.7522E+02 -1.4710E+03
0000089   7.1074E+03  2.0332E+03 -6.4343E+02
0000090   7.9888E+03  1.6999E+03 -2.9025E+02
0000091   8.4978E+03 -6.0516E+02  5.6301E+01
0000092   7.4556E+03  7.6280E+02  1.0775E+03
0000093   6.8007E+03  2.3363E+03  2.1850E+03
0000094   6.7567E+03  2.5190E+02  3.3642E+03
0000095   7.5106E+03 -5.7921E+02 -1.2200E+02
0000096   6.9038E+03  9.6080E+02  2.3731E+03
0000097   6.8863E+03  2.3266E+02 -1.6162E+03
0000098   8.8011E+03 -2.1009E+03  1.3111E+03
0000099   9.4524E+03 -1.2499E+03 -3.6443E+02
0000100   8.4368E+03 -1.4251E+01  9.1774E+02
0000101   7.6404E+03 -7.7322E+02 -1.9689E+03
0000102   7.5433E+03  3.6023E+02  4.3518E+02
0000103   6.2655E+03 -1.9931E+03 -2.6343E+03
0000104   9.8658E+03  5.5137E+02 -1.5256E+03
0000105   7.9090E+03  5.0692E+02 -7.7332E+02
0000106   8.6057E+03 -1.4078E+03 -1.3546E+02
