====== 100 keV Au into GaAs (sputter) =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Au(100 keV) ==> GaAs( 2000 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Au   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 20000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Ga       by  As       
----------   ------------  -----------  -----------  
200100.E-04  4072.42E-01  2064.58E-01  2010.98E-01  
400100.E-04  4108.63E-01  2014.58E-01  2097.71E-01  
600100.E-04  3941.36E-01  2021.25E-01  1923.98E-01  
800100.E-04  3797.49E-01  1905.41E-01  1896.24E-01  
100010.E-03  3717.52E-01  1838.73E-01  1883.32E-01  
120010.E-03  3484.05E-01  1692.76E-01  1796.09E-01  
140010.E-03  3383.31E-01  1632.76E-01  1755.56E-01  
160010.E-03  3016.36E-01  1485.87E-01  1535.66E-01  
180010.E-03  2747.05E-01  1339.53E-01  1412.67E-01  
200010.E-03  2424.72E-01  1220.40E-01  1209.36E-01  
220010.E-03  2087.20E-01  1026.26E-01  1065.70E-01  
240010.E-03  1822.80E-01  9121.06E-02  9150.81E-02  
260010.E-03  1485.21E-01  7222.82E-02  7669.78E-02  
280010.E-03  1244.55E-01  6265.85E-02  6215.00E-02  
300010.E-03  1017.14E-01  4888.79E-02  5312.49E-02  
320010.E-03  7774.65E-02  3824.11E-02  3975.72E-02  
340010.E-03  6652.06E-02  3165.94E-02  3507.35E-02  
360010.E-03  4473.50E-02  2183.98E-02  2306.49E-02  
380010.E-03  3538.88E-02  1821.04E-02  1731.36E-02  
400010.E-03  2493.49E-02  1323.75E-02  1179.87E-02  
420010.E-03  1899.71E-02  8945.88E-03  1012.86E-02  
440010.E-03  1337.88E-02  6703.75E-03  6733.57E-03  
460010.E-03  9636.21E-03  4655.38E-03  5024.37E-03  
480010.E-03  6725.71E-03  3332.07E-03  3423.73E-03  
500010.E-03  3638.71E-03  1778.57E-03  1880.90E-03  
520010.E-03  2732.58E-03  1305.07E-03  1441.77E-03  
540010.E-03  1866.80E-03  1003.13E-03  8731.48E-04  
560010.E-03  9704.63E-04  5374.08E-04  4384.40E-04  
580010.E-03  4852.50E-04  2446.62E-04  2442.63E-04  
600010.E-03  2652.22E-04  1349.81E-04  1321.01E-04  
620010.E-03  1690.48E-04  8398.81E-05  8612.47E-05  
640010.E-03  4712.24E-05  2617.43E-05  2160.81E-05  
660010.E-03  1603.84E-05  2819.37E-06  1341.40E-05  
680010.E-03  5976.76E-05  2370.15E-05  3618.61E-05  
700010.E-03  1641.26E-05  1069.25E-05  5900.07E-06  
720010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
740010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
760010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
780010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
800010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
820010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
840010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
860010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
880010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
920010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
940010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
960010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
980010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
102001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
104001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
106001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
108001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
110001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
112001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
114001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
116001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
118001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
120001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
