====== 100 keV Au into GaAs (sputter) =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Au(100 keV) ==> GaAs( 2000 A) =============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Au   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer 1 : GaAs
Layer Width = 20000.E-01 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200100.E-04  4436.88E-02  1998.63E-02
400100.E-04  4270.63E-02  2769.58E-02
600100.E-04  4071.19E-02  3714.70E-02
800100.E-04  3843.25E-02  4445.10E-02
100010.E-03  3638.94E-02  5044.83E-02
120010.E-03  3376.23E-02  5563.30E-02
140010.E-03  3064.16E-02  5885.65E-02
160010.E-03  2762.24E-02  6095.87E-02
180010.E-03  2479.87E-02  6059.31E-02
200010.E-03  2148.35E-02  5937.68E-02
220010.E-03  1832.36E-02  5681.09E-02
240010.E-03  1551.62E-02  5252.83E-02
260010.E-03  1288.00E-02  4793.12E-02
280010.E-03  1044.31E-02  4271.17E-02
300010.E-03  8215.86E-03  3766.39E-02
320010.E-03  6568.09E-03  3271.05E-02
340010.E-03  4981.17E-03  2783.34E-02
360010.E-03  3803.57E-03  2357.26E-02
380010.E-03  2787.39E-03  1957.67E-02
400010.E-03  2051.81E-03  1576.54E-02
420010.E-03  1503.67E-03  1281.31E-02
440010.E-03  1052.99E-03  1025.30E-02
460010.E-03  7388.78E-04  8067.94E-03
480010.E-03  4828.08E-04  6372.48E-03
500010.E-03  3074.61E-04  5065.35E-03
520010.E-03  2067.47E-04  3869.59E-03
540010.E-03  1108.84E-04  2981.71E-03
560010.E-03  7323.53E-05  2333.75E-03
580010.E-03  3568.05E-05  1861.85E-03
600010.E-03  1904.64E-05  1437.78E-03
620010.E-03  9046.17E-06  1128.19E-03
640010.E-03  7206.34E-06  8445.61E-04
660010.E-03  5207.30E-06  6586.20E-04
680010.E-03  1773.70E-06  5191.67E-04
700010.E-03  8280.03E-07  4055.57E-04
720010.E-03  0000.00E+00  3061.94E-04
740010.E-03  0000.00E+00  2250.24E-04
760010.E-03  0000.00E+00  1924.16E-04
780010.E-03  0000.00E+00  1397.40E-04
800010.E-03  0000.00E+00  1113.65E-04
820010.E-03  0000.00E+00  7261.44E-05
840010.E-03  0000.00E+00  6937.42E-05
860010.E-03  0000.00E+00  4653.37E-05
880010.E-03  0000.00E+00  2774.18E-05
900010.E-03  0000.00E+00  1676.75E-05
920010.E-03  0000.00E+00  1158.26E-05
940010.E-03  0000.00E+00  1288.08E-05
960010.E-03  0000.00E+00  8900.67E-06
980010.E-03  0000.00E+00  7607.69E-06
100001.E-02  0000.00E+00  6821.31E-06
102001.E-02  0000.00E+00  2363.16E-06
104001.E-02  0000.00E+00  1790.36E-06
106001.E-02  0000.00E+00  1098.40E-06
108001.E-02  0000.00E+00  2832.77E-07
110001.E-02  0000.00E+00  9140.17E-07
112001.E-02  0000.00E+00  1812.36E-07
114001.E-02  0000.00E+00  0000.00E+00
116001.E-02  0000.00E+00  0000.00E+00
118001.E-02  0000.00E+00  0000.00E+00
120001.E-02  0000.00E+00  0000.00E+00
122001.E-02  0000.00E+00  0000.00E+00
124001.E-02  0000.00E+00  0000.00E+00
126001.E-02  0000.00E+00  0000.00E+00
128001.E-02  0000.00E+00  0000.00E+00
130001.E-02  0000.00E+00  0000.00E+00
132001.E-02  0000.00E+00  0000.00E+00
134001.E-02  0000.00E+00  0000.00E+00
136001.E-02  0000.00E+00  0000.00E+00
138001.E-02  0000.00E+00  0000.00E+00
140001.E-02  0000.00E+00  0000.00E+00
142001.E-02  0000.00E+00  0000.00E+00
144001.E-02  0000.00E+00  0000.00E+00
146001.E-02  0000.00E+00  0000.00E+00
148001.E-02  0000.00E+00  0000.00E+00
150001.E-02  0000.00E+00  0000.00E+00
152001.E-02  0000.00E+00  0000.00E+00
154001.E-02  0000.00E+00  0000.00E+00
156001.E-02  0000.00E+00  0000.00E+00
158001.E-02  0000.00E+00  0000.00E+00
160001.E-02  0000.00E+00  0000.00E+00
162001.E-02  0000.00E+00  0000.00E+00
164001.E-02  0000.00E+00  0000.00E+00
166001.E-02  0000.00E+00  0000.00E+00
168001.E-02  0000.00E+00  0000.00E+00
170001.E-02  0000.00E+00  0000.00E+00
172001.E-02  0000.00E+00  0000.00E+00
174001.E-02  0000.00E+00  0000.00E+00
176001.E-02  0000.00E+00  0000.00E+00
178001.E-02  0000.00E+00  0000.00E+00
180001.E-02  0000.00E+00  0000.00E+00
182001.E-02  0000.00E+00  0000.00E+00
184001.E-02  0000.00E+00  0000.00E+00
186001.E-02  0000.00E+00  0000.00E+00
188001.E-02  0000.00E+00  0000.00E+00
190001.E-02  0000.00E+00  0000.00E+00
192001.E-02  0000.00E+00  0000.00E+00
194001.E-02  0000.00E+00  0000.00E+00
196001.E-02  0000.00E+00  0000.00E+00
198001.E-02  0000.00E+00  0000.00E+00
200001.E-02  0000.00E+00  0000.00E+00
