====== 100 keV Au into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Au(100 keV) ==> GaAs( 2000 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Au   Energy = 100 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 20000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 274326.E-03 A   Straggling = 981803.E-04 A
 Ion Lateral Range = 632677.E-04 A   Straggling = 805857.E-04 A
 Ion Radial  Range = 991775.E-04 A   Straggling = 557306.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2001000.E-05 12542554.E-05 15238628.E-05 18593981.E-05 55388099.E-06 
4001000.E-05 38684640.E-06 40419250.E-06 68058532.E-06 37195717.E-06 
6001000.E-05 74352004.E-06 95622607.E-06 84237757.E-06 63214471.E-06 
8001000.E-05 47522376.E-06 59565313.E-06 75972580.E-06 37014925.E-06 
1000100.E-04 45966592.E-06 61893710.E-06 72992682.E-06 46557568.E-06 
1200100.E-04 53699350.E-06 67290365.E-06 81594943.E-06 53270678.E-06 
1400100.E-04 50942427.E-06 65148483.E-06 76458608.E-06 45064369.E-06 
1600100.E-04 51884417.E-06 67552918.E-06 81550458.E-06 46640520.E-06 
1800100.E-04 55915193.E-06 72080763.E-06 87836320.E-06 49370834.E-06 
2000100.E-04 60703011.E-06 77272485.E-06 91740216.E-06 50495092.E-06 
2200100.E-04 60045831.E-06 75693465.E-06 92376627.E-06 49883396.E-06 
2400100.E-04 58915318.E-06 74430218.E-06 93599835.E-06 50434296.E-06 
2600100.E-04 62844046.E-06 78857155.E-06 98441074.E-06 54428394.E-06 
2800100.E-04 63683230.E-06 79580578.E-06 98705119.E-06 53549559.E-06 
3000100.E-04 63486457.E-06 80532280.E-06 98386365.E-06 53161799.E-06 
3200100.E-04 67352891.E-06 85961672.E-06 10462989.E-05 58243729.E-06 
3400100.E-04 69471994.E-06 88263918.E-06 10977210.E-05 58671992.E-06 
3600100.E-04 65311636.E-06 82192836.E-06 10502885.E-05 55842751.E-06 
3800100.E-04 69210406.E-06 87467493.E-06 11354732.E-05 60193969.E-06 
4000100.E-04 68832985.E-06 86369560.E-06 10800481.E-05 56788763.E-06 
4200100.E-04 71137265.E-06 92722928.E-06 11606728.E-05 64457220.E-06 
4400100.E-04 74059730.E-06 93817127.E-06 12040982.E-05 67370954.E-06 
