====== 100 keV Au into GaAs (sputter) =======
        SRIM-2013.00
=========================================
        Replacement Collisions       
 See SRIM Outputs\TDATA.txt for calc. details   
=========================================
====== TRIM Calc.= Au(100 keV) ==> GaAs( 2000 A) =============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Au   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 2018 /Ion
 Total Target Displacements = 2071 /Ion
 Total Target Replacement Collisions = 52 /Ion
================================================================
   Table Vacancy Units are  >>>>  Number /(Angstrom-Ion)  <<<<  
================================================================
  DEPTH (A)      Number
------------   -----------
2001000.E-05   0000.044372
4001000.E-05   0000.077908
6001000.E-05   0000.104269
8001000.E-05   0000.125044
1000100.E-04   0000.141691
1200100.E-04   0000.158252
1400100.E-04   0000.169778
1600100.E-04   0000.177135
1800100.E-04   0000.175994
2000100.E-04   0000.176294
2200100.E-04   0000.169728
2400100.E-04   0000.158602
2600100.E-04   0000.144919
2800100.E-04   0000.130295
3000100.E-04   0000.114174
3200100.E-04   0000.098863
3400100.E-04   0000.086101
3600100.E-04   0000.073759
3800100.E-04   0000.060228
4000100.E-04   0000.049165
4200100.E-04   0000.040088
4400100.E-04   0000.032035
4600100.E-04   0000.024696
4800100.E-04   0000.019051
5000100.E-04   0000.015726
5200100.E-04   0000.011955
5400100.E-04   0000.008915
5600100.E-04   0000.006995
5800100.E-04   0000.005350
6000100.E-04   0000.004255
6200100.E-04   0000.003385
6400100.E-04   0000.002385
6600100.E-04   0000.001990
6800100.E-04   0000.001615
7000100.E-04   0000.001095
7200100.E-04   0000.000805
7400100.E-04   0000.000645
7600100.E-04   0000.000525
7800100.E-04   0000.000465
8000100.E-04   0000.000390
8200100.E-04   0000.000205
8400100.E-04   0000.000275
8600100.E-04   0000.000175
8800100.E-04   0000.000070
9000100.E-04   0000.000045
9200100.E-04   0000.000050
9400100.E-04   0000.000030
9600100.E-04   0000.000040
9800100.E-04   0000.000005
1000010.E-03   0000.000010
1020010.E-03   0000.000015
1040010.E-03   0000.000000
1060010.E-03   0000.000000
1080010.E-03   0000.000010
1100010.E-03   0000.000010
1120010.E-03   0000.000005
1140010.E-03   0000.000000
1160010.E-03   0000.000000
1180010.E-03   0000.000000
1200010.E-03   0000.000000
1220010.E-03   0000.000000
1240010.E-03   0000.000000
1260010.E-03   0000.000000
1280010.E-03   0000.000000
1300010.E-03   0000.000000
1320010.E-03   0000.000000
1340010.E-03   0000.000000
1360010.E-03   0000.000000
1380010.E-03   0000.000000
1400010.E-03   0000.000000
1420010.E-03   0000.000000
1440010.E-03   0000.000000
1460010.E-03   0000.000000
1480010.E-03   0000.000000
1500010.E-03   0000.000000
1520010.E-03   0000.000000
1540010.E-03   0000.000000
1560010.E-03   0000.000000
1580010.E-03   0000.000000
1600010.E-03   0000.000000
1620010.E-03   0000.000000
1640010.E-03   0000.000000
1660010.E-03   0000.000000
1680010.E-03   0000.000000
1700010.E-03   0000.000000
1720010.E-03   0000.000000
1740010.E-03   0000.000000
1760010.E-03   0000.000000
1780010.E-03   0000.000000
1800010.E-03   0000.000000
1820010.E-03   0000.000000
1840010.E-03   0000.000000
1860010.E-03   0000.000000
1880010.E-03   0000.000000
1900010.E-03   0000.000000
1920010.E-03   0000.000000
1940010.E-03   0000.000000
1960010.E-03   0000.000000
1980010.E-03   0000.000000
2000010.E-03   0000.000000
