====== 100 keV Au into GaAs (sputter) =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Au(100 keV) ==> GaAs( 2000 A) =============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Au   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+03 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200100.E-04  886142.E-06  472199.E-04
400100.E-04  898105.E-06  101231.E-03
600100.E-04  952240.E-06  134806.E-03
800100.E-04  100612.E-05  160727.E-03
100010.E-03  107940.E-05  183091.E-03
120010.E-03  114989.E-05  202929.E-03
140010.E-03  118034.E-05  217025.E-03
160010.E-03  120848.E-05  226393.E-03
180010.E-03  122917.E-05  227348.E-03
200010.E-03  117074.E-05  224412.E-03
220010.E-03  111056.E-05  216666.E-03
240010.E-03  102628.E-05  202641.E-03
260010.E-03  943546.E-06  186356.E-03
280010.E-03  830481.E-06  167207.E-03
300010.E-03  705064.E-06  147744.E-03
320010.E-03  603061.E-06  128660.E-03
340010.E-03  495519.E-06  110131.E-03
360010.E-03  404742.E-06  936321.E-04
380010.E-03  317987.E-06  777056.E-04
400010.E-03  252751.E-06  630580.E-04
420010.E-03  175877.E-06  510313.E-04
440010.E-03  138683.E-06  410462.E-04
460010.E-03  105725.E-06  321559.E-04
480010.E-03  774267.E-07  253215.E-04
500010.E-03  508479.E-07  198596.E-04
520010.E-03  337285.E-07  152197.E-04
540010.E-03  215160.E-07  116330.E-04
560010.E-03  127680.E-07  904024.E-05
580010.E-03  897287.E-08  714825.E-05
600010.E-03  512208.E-08  551490.E-05
620010.E-03  285725.E-08  430617.E-05
640010.E-03  146388.E-08  327966.E-05
660010.E-03  724888.E-09  250180.E-05
680010.E-03  732920.E-10  192820.E-05
700010.E-03  329358.E-09  157093.E-05
720010.E-03  000000.E+00  115201.E-05
740010.E-03  000000.E+00  861860.E-06
760010.E-03  000000.E+00  710797.E-06
780010.E-03  000000.E+00  578321.E-06
800010.E-03  000000.E+00  420667.E-06
820010.E-03  000000.E+00  319659.E-06
840010.E-03  000000.E+00  277185.E-06
860010.E-03  000000.E+00  193747.E-06
880010.E-03  000000.E+00  106534.E-06
900010.E-03  000000.E+00  711379.E-07
920010.E-03  000000.E+00  528690.E-07
940010.E-03  000000.E+00  540335.E-07
960010.E-03  000000.E+00  385926.E-07
980010.E-03  000000.E+00  327466.E-07
100001.E-02  000000.E+00  266637.E-07
102001.E-02  000000.E+00  139154.E-07
104001.E-02  000000.E+00  701004.E-08
106001.E-02  000000.E+00  465480.E-08
108001.E-02  000000.E+00  126794.E-08
110001.E-02  000000.E+00  449627.E-08
112001.E-02  000000.E+00  127029.E-08
114001.E-02  000000.E+00  000000.E+00
116001.E-02  000000.E+00  000000.E+00
118001.E-02  000000.E+00  000000.E+00
120001.E-02  000000.E+00  000000.E+00
122001.E-02  000000.E+00  000000.E+00
124001.E-02  000000.E+00  000000.E+00
126001.E-02  000000.E+00  000000.E+00
128001.E-02  000000.E+00  000000.E+00
130001.E-02  000000.E+00  000000.E+00
132001.E-02  000000.E+00  000000.E+00
134001.E-02  000000.E+00  000000.E+00
136001.E-02  000000.E+00  000000.E+00
138001.E-02  000000.E+00  000000.E+00
140001.E-02  000000.E+00  000000.E+00
142001.E-02  000000.E+00  000000.E+00
144001.E-02  000000.E+00  000000.E+00
146001.E-02  000000.E+00  000000.E+00
148001.E-02  000000.E+00  000000.E+00
150001.E-02  000000.E+00  000000.E+00
152001.E-02  000000.E+00  000000.E+00
154001.E-02  000000.E+00  000000.E+00
156001.E-02  000000.E+00  000000.E+00
158001.E-02  000000.E+00  000000.E+00
160001.E-02  000000.E+00  000000.E+00
162001.E-02  000000.E+00  000000.E+00
164001.E-02  000000.E+00  000000.E+00
166001.E-02  000000.E+00  000000.E+00
168001.E-02  000000.E+00  000000.E+00
170001.E-02  000000.E+00  000000.E+00
172001.E-02  000000.E+00  000000.E+00
174001.E-02  000000.E+00  000000.E+00
176001.E-02  000000.E+00  000000.E+00
178001.E-02  000000.E+00  000000.E+00
180001.E-02  000000.E+00  000000.E+00
182001.E-02  000000.E+00  000000.E+00
184001.E-02  000000.E+00  000000.E+00
186001.E-02  000000.E+00  000000.E+00
188001.E-02  000000.E+00  000000.E+00
190001.E-02  000000.E+00  000000.E+00
192001.E-02  000000.E+00  000000.E+00
194001.E-02  000000.E+00  000000.E+00
196001.E-02  000000.E+00  000000.E+00
198001.E-02  000000.E+00  000000.E+00
200001.E-02  000000.E+00  000000.E+00
