============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Au (79)   Ion Mass= 196.9670
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=200000.E-02 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.0419E+02 -9.8542E+01 -7.5181E+01
0000002   1.5043E+02  1.4062E+02  7.6522E+01
0000003   1.8175E+02 -1.5297E+02  7.8090E+01
0000004   2.6762E+02 -4.1019E+00  5.1556E+01
0000005   4.2000E+02  1.1535E+02 -1.1834E+02
0000006   3.8817E+02 -3.0494E+01 -1.4666E+02
0000007   1.8231E+02 -6.6143E+01  4.3769E+01
0000008   5.5926E+02 -8.8517E+01 -6.5237E+01
0000009   1.4198E+02 -2.0267E+01 -8.1857E+00
0000010   2.4655E+02  5.6356E+01  8.3402E+01
0000011   2.6046E+02  4.0505E+01 -3.8010E+01
0000012   2.7838E+02  1.9905E+01 -4.7790E+01
0000013   2.8576E+02  1.1601E+02  3.0219E+01
0000014   1.8928E+02  8.0306E+01  6.1710E+01
0000015   4.0544E+02 -6.4993E+01  3.3294E+01
0000016   2.5858E+02 -9.8319E+01  1.6843E+02
0000017   1.7159E+02  8.2841E+01  6.2941E+01
0000018   1.7959E+02  6.6510E+01 -1.2771E+01
0000019   3.3222E+02  7.3822E+01  3.7444E+01
0000020   2.1972E+02  4.6726E+01  3.8391E+01
0000021   1.8238E+02  7.3342E+00 -2.8731E+01
0000022   2.4648E+02 -2.4987E+01 -4.2360E+01
0000023   3.6724E+02 -6.5936E+01  8.6025E+01
0000024   2.3164E+02 -9.5204E+01  8.2055E+01
0000025   5.0590E+02  5.1513E+01  1.9472E+02
0000026   3.3666E+02  4.5679E+01  5.3558E+01
0000027   2.8457E+02 -7.8101E+00 -3.1382E+01
0000028   5.3074E+02 -1.6383E+02  1.5139E+02
0000029   1.6956E+02  4.0332E+01 -2.2015E+01
0000030   1.9593E+02 -3.8904E+01 -5.8607E+01
0000031   4.6954E+02 -4.9300E+01  3.8763E+01
0000032   3.3732E+02 -1.9312E+02 -5.9342E+01
0000033   4.8944E+02 -5.2869E+01  3.7926E+01
0000034   1.2712E+02  9.5858E+01  3.3963E+00
0000035   2.6267E+02 -8.2113E+01  3.0698E+01
0000036   2.1159E+02 -1.0346E+02  1.0546E+02
0000037   2.1912E+02 -8.3824E+01 -3.8139E+01
0000038   3.2269E+02 -6.0523E+01 -6.2415E+01
0000039   2.8605E+02 -9.6086E+01  1.2711E+02
0000040   6.3000E+02  1.0037E+01 -4.1064E+01
0000041   3.2430E+02  1.1079E+02  7.3910E+01
0000042   4.4725E+02  1.0525E+02  1.1630E+02
0000043   2.5026E+02 -1.3044E+01  6.2943E+01
0000044   1.6797E+02  8.3237E+01  5.4177E+01
0000045   2.4288E+02 -5.0232E+01  3.9337E+01
0000046   1.3390E+02 -8.7163E+01  1.1353E+01
0000047   2.6792E+02  7.6649E+01 -1.2951E+02
0000048   3.1763E+02 -2.2317E+01 -1.1522E+02
0000049   1.1051E+02 -9.0596E+01  3.4162E+01
0000050   3.0779E+02 -1.5474E+02 -1.3205E+02
0000051   2.2316E+02  6.9074E+01  6.2331E-01
0000052   2.6411E+02  1.4892E+01 -3.9384E+01
0000053   2.1092E+02 -8.2136E+01 -6.9696E+01
0000054   1.5277E+02  9.8672E+01 -1.1992E+01
0000055   1.6749E+02 -6.2682E+01  5.2028E+01
0000056   2.2823E+02  1.2454E+02  6.4333E+00
0000057   3.0470E+02 -9.5667E+01 -9.1028E+01
0000058   1.4975E+02 -1.6428E+01 -3.9841E+00
0000059   1.5728E+02  4.6387E+01 -2.4018E+01
0000060   1.9491E+02 -6.4822E+01 -1.4965E+01
0000061   2.4457E+02  1.6300E+02  2.0487E+01
0000062   3.3039E+02  3.9810E+01 -9.7662E+01
0000063   4.6802E+02  3.9971E+01 -5.6320E+01
0000064   4.0290E+02  1.0138E+02 -1.5531E+02
0000065   1.7859E+02  1.9404E+01  4.1733E+01
0000066   2.7686E+02 -3.0846E+01 -1.8955E+00
0000067   4.2643E+02  1.3078E+02  2.6337E+01
0000068   1.8886E+02  2.8397E+01 -5.9826E-01
0000069   3.1116E+02  1.5192E+02 -1.0980E+02
0000070   3.8803E+02 -8.2163E+01  1.0800E+02
0000071   5.0590E+02 -2.0718E+02 -1.2727E+02
0000072   1.9812E+02  4.4129E+01 -1.0726E+02
0000073   1.8778E+02 -2.0595E+01  2.6047E+00
0000074   2.9654E+02  4.7221E+01 -2.2667E+01
0000075   1.7242E+02  2.2273E+00  1.0875E+02
0000076   3.7867E+02 -8.5342E+01 -9.0809E+00
0000077   2.2098E+02 -9.6367E+01 -2.8720E+01
0000078   3.6384E+02  1.9713E+01 -2.3587E+01
0000079   1.3088E+02 -1.0582E+02 -6.1969E+01
0000080   2.2456E+02  4.2104E+01  2.7932E+01
0000081   2.3053E+02 -1.2508E+01  4.6130E+01
0000082   1.8617E+02  1.2422E+02 -1.8522E+01
0000083   2.4176E+02 -4.3333E+01 -1.1112E+02
0000084   2.4944E+02 -6.6497E+01 -6.1435E+01
0000085   3.4045E+02 -5.9085E+01 -3.3492E+01
0000086   1.9345E+02  3.9132E+00 -4.4479E+01
0000087   3.8094E+02 -1.4519E+02 -2.6062E+01
0000088   1.9048E+02  1.2457E+02 -3.8805E+01
0000089   2.4308E+02  1.2371E+02  3.4006E+01
0000090   3.7452E+02 -5.8555E+01 -2.3569E+01
0000091   2.6542E+02 -1.2404E+02  1.0337E+02
0000092   3.5767E+02  9.9142E+01 -2.3331E+01
0000093   2.3094E+02  9.5309E+01  1.4369E+01
0000094   3.4023E+02 -1.6923E+01  2.9298E+01
0000095   3.9394E+02 -2.1804E+01 -1.6329E+01
0000096   1.9001E+02 -8.6442E+01  1.7004E+01
0000097   2.0018E+02  6.0746E+01  5.4517E+01
0000098   3.7640E+02  3.0797E+01 -2.5574E+01
0000099   2.2658E+02 -1.0840E+02 -1.4876E+01
0000100   3.5574E+02 -1.0372E+02 -1.7172E+01
0000101   1.4379E+02 -4.4992E+01  4.9595E+01
0000102   3.0087E+02 -4.6835E+01 -5.0411E-01
0000103   3.7953E+02 -8.1468E+01  3.4441E+01
0000104   2.6070E+02 -7.4797E+01 -1.1213E+02
0000105   2.3455E+02 -1.1505E+01 -5.8957E+01
