====== 100 keV Au into GaAs (sputter) =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Au(100 keV) ==> GaAs( 2000 A) =============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Au   Energy = 100 keV
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width =     2.E+03 A ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 2018 /Ion
 Total Target Displacements = 2071 /Ion
 Total Target Replacement Collisions = 52 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Au           Ga           As       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
200100.E-04  1046.15E-04  8664.70E-04  8612.51E-04  
400100.E-04  1223.27E-04  1538.63E-03  1536.29E-03  
600100.E-04  1288.93E-04  2036.80E-03  2039.82E-03  
800100.E-04  1383.62E-04  2419.10E-03  2424.24E-03  
100010.E-03  1509.40E-04  2752.83E-03  2767.01E-03  
120010.E-03  1600.64E-04  3058.91E-03  3064.65E-03  
140010.E-03  1670.35E-04  3271.97E-03  3272.11E-03  
160010.E-03  1722.51E-04  3416.35E-03  3418.86E-03  
180010.E-03  1719.55E-04  3419.80E-03  3418.86E-03  
200010.E-03  1679.46E-04  3370.38E-03  3369.35E-03  
220010.E-03  1586.97E-04  3255.37E-03  3256.48E-03  
240010.E-03  1462.80E-04  3035.06E-03  3034.83E-03  
260010.E-03  1349.04E-04  2780.49E-03  2784.03E-03  
280010.E-03  1179.53E-04  2487.75E-03  2491.76E-03  
300010.E-03  9972.30E-05  2190.41E-03  2190.34E-03  
320010.E-03  8388.69E-05  1899.50E-03  1904.35E-03  
340010.E-03  7075.51E-05  1625.23E-03  1619.02E-03  
360010.E-03  5655.85E-05  1375.96E-03  1378.63E-03  
380010.E-03  4507.64E-05  1141.41E-03  1142.87E-03  
400010.E-03  3375.41E-05  9205.63E-04  9277.85E-04  
420010.E-03  2578.11E-05  7497.63E-04  7493.10E-04  
440010.E-03  1952.07E-05  6034.27E-04  6018.23E-04  
460010.E-03  1451.54E-05  4698.61E-04  4706.98E-04  
480010.E-03  1003.02E-05  3707.84E-04  3733.07E-04  
500010.E-03  6919.96E-06  2907.01E-04  2929.53E-04  
520010.E-03  4749.96E-06  2228.70E-04  2221.04E-04  
540010.E-03  3159.98E-06  1706.69E-04  1695.28E-04  
560010.E-03  1795.00E-06  1326.42E-04  1319.46E-04  
580010.E-03  1225.00E-06  1042.89E-04  1048.25E-04  
600010.E-03  6200.01E-07  8009.28E-05  8031.77E-05  
620010.E-03  3550.00E-07  6294.20E-05  6349.69E-05  
640010.E-03  2200.00E-07  4712.59E-05  4746.58E-05  
660010.E-03  6500.00E-08  3670.84E-05  3678.34E-05  
680010.E-03  4000.00E-08  2814.55E-05  2841.04E-05  
700010.E-03  6000.00E-08  2297.59E-05  2284.59E-05  
720010.E-03  0000.00E+00  1670.56E-05  1633.05E-05  
740010.E-03  0000.00E+00  1223.03E-05  1231.53E-05  
760010.E-03  0000.00E+00  1023.02E-05  1090.52E-05  
780010.E-03  0000.00E+00  8660.07E-06  8375.05E-06  
800010.E-03  0000.00E+00  6314.93E-06  6209.93E-06  
820010.E-03  0000.00E+00  4749.96E-06  4524.96E-06  
840010.E-03  0000.00E+00  4099.97E-06  4249.96E-06  
860010.E-03  0000.00E+00  2854.99E-06  2894.98E-06  
880010.E-03  0000.00E+00  1455.00E-06  1715.00E-06  
900010.E-03  0000.00E+00  9700.02E-07  9850.02E-07  
920010.E-03  0000.00E+00  8800.02E-07  7550.01E-07  
940010.E-03  0000.00E+00  8400.01E-07  6900.01E-07  
960010.E-03  0000.00E+00  5950.01E-07  6500.01E-07  
980010.E-03  0000.00E+00  4850.00E-07  4300.00E-07  
100001.E-02  0000.00E+00  4100.00E-07  4000.00E-07  
102001.E-02  0000.00E+00  2100.00E-07  1550.00E-07  
104001.E-02  0000.00E+00  6000.00E-08  1250.00E-07  
106001.E-02  0000.00E+00  3500.00E-08  8000.00E-08  
108001.E-02  0000.00E+00  5000.00E-09  2000.00E-08  
110001.E-02  0000.00E+00  7000.00E-08  1050.00E-07  
112001.E-02  0000.00E+00  1500.00E-08  2500.00E-08  
114001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
116001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
118001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
120001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
122001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
124001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
126001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
128001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
130001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
132001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
134001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
136001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
138001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
140001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
142001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
144001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
146001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
148001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
150001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
152001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
154001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
156001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
158001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
160001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
162001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
164001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
166001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
168001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
170001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
172001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
174001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
176001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
178001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
180001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
182001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
184001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
186001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
188001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
190001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
192001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
194001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
196001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
198001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
200001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
