bin_m,mean_Se_eV_per_A,dE_keV_total,npts
2.5000,2.351479e-05,1.047150e+06,5233
7.5000,2.352571e-05,1.157710e+06,3872
12.5000,2.353142e-05,1.171810e+06,3903
17.5000,2.353718e-05,1.170290e+06,3905
22.5000,2.354291e-05,1.164070e+06,3901
27.5000,2.354859e-05,1.168330e+06,3911
32.5000,2.355426e-05,1.149940e+06,3927
37.5000,2.355992e-05,1.164600e+06,3919
42.5000,2.356573e-05,1.186350e+06,3932
47.5000,2.357149e-05,1.173030e+06,3947
52.5000,2.357722e-05,1.182400e+06,3950
57.5000,2.358297e-05,1.167730e+06,3936
62.5000,2.358877e-05,1.176080e+06,3951
67.5000,2.359456e-05,1.182440e+06,3946
72.5000,2.360038e-05,1.190380e+06,3948
77.5000,2.360623e-05,1.188740e+06,3957
82.5000,2.361198e-05,1.151910e+06,3958
87.5000,2.361792e-05,1.189730e+06,3967
92.5000,2.362396e-05,1.190140e+06,3971
97.5000,2.363004e-05,1.196210e+06,3980
102.5000,2.363618e-05,1.174280e+06,3976
107.5000,2.364233e-05,1.203690e+06,3987
112.5000,2.364846e-05,1.180220e+06,3989
117.5000,2.365463e-05,1.183700e+06,3995
122.5000,2.366070e-05,1.167510e+06,4003
127.5000,2.366679e-05,1.207750e+06,4006
132.5000,2.367303e-05,1.180710e+06,4015
137.5000,2.367917e-05,1.183840e+06,4022
142.5000,2.368534e-05,1.194370e+06,4029
147.5000,2.369143e-05,1.180060e+06,4028
152.5000,2.369757e-05,1.191770e+06,4033
157.5000,2.370376e-05,1.187150e+06,4041
162.5000,2.370992e-05,1.171560e+06,4042
167.5000,2.371609e-05,1.186810e+06,4048
172.5000,2.372241e-05,1.193600e+06,4045
177.5000,2.372883e-05,1.194520e+06,4049
182.5000,2.373531e-05,1.200040e+06,4062
187.5000,2.374168e-05,1.168100e+06,4061
192.5000,2.374812e-05,1.201580e+06,4067
197.5000,2.375465e-05,1.180940e+06,4059
202.5000,2.376115e-05,1.184050e+06,4068
207.5000,2.376764e-05,1.197420e+06,4076
212.5000,2.377423e-05,1.218710e+06,4100
217.5000,2.378090e-05,1.196090e+06,4093
222.5000,2.378741e-05,1.205320e+06,4128
227.5000,2.379405e-05,1.221090e+06,4102
