====== 33 MeV H into skin/skull/brain/tumour =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 33000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Skin_Human (W&W type 1)
Layer Width =     1.E+07 AAA ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer  2 : Cortical Bone  Adult (W&W)
Layer Width =     4.E+07 AAA ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer  3 : Brain (ICRP)
Layer Width =     3.E+07 AAA ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer  4 : Brain Tumour (ICRP brain comp.)
Layer Width =     2.E+07 AAA ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100000.E+01  129408.E-10  207303.E-10
200000.E+01  130161.E-10  243293.E-10
300000.E+01  130626.E-10  259884.E-10
400000.E+01  131438.E-10  215119.E-10
500000.E+01  133311.E-10  207770.E-10
600000.E+01  133804.E-10  224626.E-10
700000.E+01  133704.E-10  249508.E-10
800000.E+01  133271.E-10  232770.E-10
900000.E+01  136344.E-10  293653.E-10
100000.E+02  141542.E-10  271967.E-10
110000.E+02  192257.E-10  299400.E-10
120000.E+02  194318.E-10  369842.E-10
130000.E+02  193752.E-10  410467.E-10
140000.E+02  198484.E-10  372865.E-10
150000.E+02  199715.E-10  376983.E-10
160000.E+02  201912.E-10  430440.E-10
170000.E+02  202772.E-10  550397.E-10
180000.E+02  205155.E-10  375917.E-10
190000.E+02  208290.E-10  559948.E-10
200000.E+02  212186.E-10  515782.E-10
210000.E+02  211399.E-10  520574.E-10
220000.E+02  215975.E-10  397585.E-10
230000.E+02  218161.E-10  504174.E-10
240000.E+02  221741.E-10  405444.E-10
250000.E+02  224535.E-10  503600.E-10
260000.E+02  226337.E-10  541893.E-10
270000.E+02  230271.E-10  493800.E-10
280000.E+02  235135.E-10  490282.E-10
290000.E+02  236045.E-10  456514.E-10
300000.E+02  240080.E-10  489168.E-10
310000.E+02  243641.E-10  481761.E-10
320000.E+02  246645.E-10  408649.E-10
330000.E+02  251945.E-10  533415.E-10
340000.E+02  257479.E-10  494136.E-10
350000.E+02  262814.E-10  522352.E-10
360000.E+02  265316.E-10  576068.E-10
370000.E+02  273113.E-10  538796.E-10
380000.E+02  276777.E-10  574186.E-10
390000.E+02  280286.E-10  541603.E-10
400000.E+02  285496.E-10  567592.E-10
410000.E+02  293034.E-10  597250.E-10
420000.E+02  297447.E-10  572927.E-10
430000.E+02  305238.E-10  661795.E-10
440000.E+02  313865.E-10  638106.E-10
450000.E+02  320947.E-10  742875.E-10
460000.E+02  331391.E-10  727016.E-10
470000.E+02  341348.E-10  798993.E-10
480000.E+02  349224.E-10  609295.E-10
490000.E+02  361740.E-10  775903.E-10
500000.E+02  381881.E-10  799558.E-10
510000.E+02  222993.E-10  389732.E-10
520000.E+02  227116.E-10  406571.E-10
530000.E+02  230097.E-10  446335.E-10
540000.E+02  237694.E-10  410229.E-10
550000.E+02  245887.E-10  419515.E-10
560000.E+02  250444.E-10  461047.E-10
570000.E+02  258962.E-10  508792.E-10
580000.E+02  267574.E-10  465914.E-10
590000.E+02  276447.E-10  509936.E-10
600000.E+02  284763.E-10  572215.E-10
610000.E+02  296488.E-10  608993.E-10
620000.E+02  308792.E-10  686985.E-10
630000.E+02  318212.E-10  574275.E-10
640000.E+02  334464.E-10  627729.E-10
650000.E+02  354764.E-10  692685.E-10
660000.E+02  371826.E-10  718021.E-10
670000.E+02  396274.E-10  939631.E-10
680000.E+02  424579.E-10  863131.E-10
690000.E+02  461419.E-10  896185.E-10
700000.E+02  510722.E-10  103024.E-09
710000.E+02  579075.E-10  112987.E-09
720000.E+02  711948.E-10  146120.E-09
730000.E+02  978313.E-10  202059.E-09
740000.E+02  142942.E-09  308387.E-09
750000.E+02  176410.E-09  362605.E-09
760000.E+02  145294.E-09  320997.E-09
770000.E+02  758790.E-10  154527.E-09
780000.E+02  237499.E-10  508938.E-10
790000.E+02  431544.E-11  827688.E-11
800000.E+02  664673.E-12  132330.E-11
810000.E+02  000000.E+00  000000.E+00
820000.E+02  000000.E+00  000000.E+00
830000.E+02  000000.E+00  000000.E+00
840000.E+02  000000.E+00  000000.E+00
850000.E+02  000000.E+00  000000.E+00
860000.E+02  000000.E+00  000000.E+00
870000.E+02  000000.E+00  000000.E+00
880000.E+02  000000.E+00  000000.E+00
890000.E+02  000000.E+00  000000.E+00
900000.E+02  000000.E+00  000000.E+00
910000.E+02  000000.E+00  000000.E+00
920000.E+02  000000.E+00  000000.E+00
930000.E+02  000000.E+00  000000.E+00
940000.E+02  000000.E+00  000000.E+00
950000.E+02  000000.E+00  000000.E+00
960000.E+02  000000.E+00  000000.E+00
970000.E+02  000000.E+00  000000.E+00
980000.E+02  000000.E+00  000000.E+00
990000.E+02  000000.E+00  000000.E+00
100000.E+03  000000.E+00  000000.E+00
