====== 35 MeV H into skin/skull/brain/tumour =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 35000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Skin_Human (W&W type 1)
Layer Width = 10000.E+03 A ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer 2 : Cortical Bone  Adult (W&W)
Layer Width = 40000.E+03 A ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer 3 : Brain (ICRP)
Layer Width = 30000.E+03 A ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer 4 : Brain Tumour (ICRP brain comp.)
Layer Width = 20000.E+03 A ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100000.E+01  1819.19E-04  1107.73E-08
200000.E+01  1825.26E-04  1080.76E-07
300000.E+01  1833.85E-04  2301.20E-08
400000.E+01  1841.71E-04  1787.22E-08
500000.E+01  1849.72E-04  2111.74E-08
600000.E+01  1857.56E-04  1880.56E-08
700000.E+01  1868.95E-04  1138.93E-08
800000.E+01  1875.72E-04  1956.14E-08
900000.E+01  1880.92E-04  2044.74E-08
100000.E+02  1890.75E-04  1434.12E-08
110000.E+02  2943.36E-04  2084.96E-08
120000.E+02  2970.32E-04  4212.43E-08
130000.E+02  2992.68E-04  1635.92E-08
140000.E+02  3023.88E-04  2072.18E-08
150000.E+02  3038.94E-04  3170.38E-08
160000.E+02  3064.12E-04  1023.55E-07
170000.E+02  3089.53E-04  3611.86E-08
180000.E+02  3114.87E-04  2540.44E-08
190000.E+02  3136.01E-04  2285.58E-08
200000.E+02  3168.93E-04  3317.18E-08
210000.E+02  3188.68E-04  5861.15E-08
220000.E+02  3218.31E-04  3453.44E-08
230000.E+02  3246.33E-04  2848.22E-08
240000.E+02  3276.79E-04  4451.85E-08
250000.E+02  3304.00E-04  5392.24E-08
260000.E+02  3336.84E-04  4290.16E-08
270000.E+02  3364.89E-04  1458.43E-08
280000.E+02  3408.81E-04  2133.89E-08
290000.E+02  3441.11E-04  3008.60E-08
300000.E+02  3471.84E-04  2189.64E-08
310000.E+02  3511.70E-04  4449.07E-08
320000.E+02  3548.15E-04  6161.99E-08
330000.E+02  3589.78E-04  2340.30E-08
340000.E+02  3629.69E-04  2424.78E-08
350000.E+02  3665.82E-04  2700.83E-08
360000.E+02  3716.91E-04  6745.48E-08
370000.E+02  3757.08E-04  2785.32E-08
380000.E+02  3800.69E-04  5201.75E-08
390000.E+02  3853.13E-04  8212.91E-08
400000.E+02  3908.67E-04  1253.24E-07
410000.E+02  3967.40E-04  6533.34E-08
420000.E+02  4020.30E-04  5571.74E-08
430000.E+02  4071.60E-04  1961.52E-08
440000.E+02  4143.74E-04  3077.48E-08
450000.E+02  4208.92E-04  3187.43E-08
460000.E+02  4273.77E-04  4256.44E-07
470000.E+02  4349.27E-04  1994.91E-07
480000.E+02  4428.07E-04  1187.13E-07
490000.E+02  4503.80E-04  4472.75E-08
500000.E+02  4596.13E-04  5358.78E-08
510000.E+02  2895.88E-04  1895.72E-08
520000.E+02  2933.51E-04  6635.12E-08
530000.E+02  2968.37E-04  1040.40E-07
540000.E+02  3014.66E-04  2485.84E-08
550000.E+02  3055.77E-04  4787.98E-08
560000.E+02  3098.21E-04  3551.80E-08
570000.E+02  3144.87E-04  3432.96E-08
580000.E+02  3189.88E-04  7214.84E-08
590000.E+02  3246.85E-04  3823.72E-08
600000.E+02  3307.10E-04  3852.35E-08
610000.E+02  3356.27E-04  3641.69E-08
620000.E+02  3418.42E-04  4632.06E-08
630000.E+02  3488.11E-04  3386.58E-08
640000.E+02  3554.78E-04  5272.24E-08
650000.E+02  3630.56E-04  4087.40E-08
660000.E+02  3706.61E-04  4732.37E-08
670000.E+02  3790.76E-04  3059.42E-08
680000.E+02  3879.88E-04  3417.62E-08
690000.E+02  3981.98E-04  6521.69E-08
700000.E+02  4084.54E-04  5949.41E-08
710000.E+02  4203.82E-04  4224.62E-08
720000.E+02  4331.62E-04  5434.46E-08
730000.E+02  4475.39E-04  4260.75E-08
740000.E+02  4633.48E-04  1175.08E-07
750000.E+02  4811.10E-04  7229.19E-08
760000.E+02  5010.93E-04  9770.15E-08
770000.E+02  5247.08E-04  9910.14E-08
780000.E+02  5525.20E-04  1192.05E-07
790000.E+02  5849.84E-04  1037.09E-07
800000.E+02  6247.98E-04  1382.48E-07
810000.E+02  6903.72E-04  1240.51E-07
820000.E+02  7661.65E-04  9083.07E-08
830000.E+02  8779.72E-04  1288.87E-07
840000.E+02  1035.56E-03  2386.24E-07
850000.E+02  1160.20E-03  3542.35E-07
860000.E+02  1105.34E-03  4184.80E-07
870000.E+02  8007.16E-04  2371.37E-07
880000.E+02  3939.09E-04  1838.01E-07
890000.E+02  1290.17E-04  7595.28E-08
900000.E+02  2623.79E-05  1019.50E-08
910000.E+02  3038.96E-06  1547.41E-09
