====== 36.5 MeV H into skin/skull/brain/tumour =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 36500 keV
============= TARGET MATERIAL ======================================
Layer 1 : Skin_Human (W&W type 1)
Layer Width = 10000.E+03 A ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer 2 : Cortical Bone  Adult (W&W)
Layer Width = 40000.E+03 A ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer 3 : Brain (ICRP)
Layer Width = 30000.E+03 A ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer 4 : Brain Tumour (ICRP brain comp.)
Layer Width = 20000.E+03 A ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100000.E+01  1758.39E-04  1790.56E-08
200000.E+01  1763.67E-04  1161.80E-08
300000.E+01  1766.02E-04  1283.70E-08
400000.E+01  1778.84E-04  8796.39E-09
500000.E+01  1786.47E-04  2672.89E-08
600000.E+01  1794.52E-04  1636.59E-08
700000.E+01  1798.22E-04  3390.98E-08
800000.E+01  1816.77E-04  1177.52E-08
900000.E+01  1819.59E-04  1310.69E-08
100000.E+02  1823.98E-04  1479.43E-08
110000.E+02  2838.32E-04  1725.97E-08
120000.E+02  2865.09E-04  5437.27E-08
130000.E+02  2877.22E-04  1866.53E-08
140000.E+02  2900.43E-04  9288.10E-08
150000.E+02  2918.81E-04  4656.99E-08
160000.E+02  2941.17E-04  1770.38E-08
170000.E+02  2962.31E-04  3633.52E-08
180000.E+02  2982.44E-04  1905.24E-08
190000.E+02  3003.59E-04  2405.38E-08
200000.E+02  3023.42E-04  1362.08E-08
210000.E+02  3050.66E-04  1804.99E-08
220000.E+02  3077.45E-04  2271.50E-08
230000.E+02  3104.13E-04  2310.27E-08
240000.E+02  3122.83E-04  2163.38E-08
250000.E+02  3151.53E-04  8153.56E-08
260000.E+02  3180.87E-04  2096.53E-07
270000.E+02  3203.77E-04  1844.14E-08
280000.E+02  3232.75E-04  3798.98E-08
290000.E+02  3263.69E-04  1678.95E-07
300000.E+02  3284.62E-04  2920.87E-08
310000.E+02  3327.58E-04  2764.13E-08
320000.E+02  3353.50E-04  2422.27E-08
330000.E+02  3391.69E-04  2431.97E-08
340000.E+02  3426.12E-04  1646.00E-08
350000.E+02  3457.88E-04  3130.94E-08
360000.E+02  3496.69E-04  3630.42E-08
370000.E+02  3538.82E-04  2322.58E-08
380000.E+02  3579.78E-04  5561.51E-08
390000.E+02  3614.73E-04  2454.47E-08
400000.E+02  3655.44E-04  2851.92E-08
410000.E+02  3703.45E-04  3456.53E-08
420000.E+02  3749.08E-04  3883.10E-08
430000.E+02  3788.19E-04  2761.29E-08
440000.E+02  3841.84E-04  2368.12E-08
450000.E+02  3894.55E-04  2949.03E-08
460000.E+02  3942.58E-04  1784.88E-07
470000.E+02  3996.91E-04  4024.73E-08
480000.E+02  4058.05E-04  1122.54E-07
490000.E+02  4111.87E-04  4729.31E-08
500000.E+02  4178.24E-04  6012.08E-08
510000.E+02  2621.21E-04  7360.82E-08
520000.E+02  2649.72E-04  1133.81E-07
530000.E+02  2676.82E-04  3698.88E-08
540000.E+02  2702.11E-04  3860.20E-08
550000.E+02  2735.18E-04  2187.67E-08
560000.E+02  2766.16E-04  2667.92E-08
570000.E+02  2798.07E-04  1704.61E-08
580000.E+02  2833.27E-04  3344.18E-08
590000.E+02  2863.28E-04  2547.08E-08
600000.E+02  2903.25E-04  5036.38E-08
610000.E+02  2942.26E-04  2596.73E-08
620000.E+02  2977.32E-04  2514.51E-08
630000.E+02  3021.71E-04  3791.53E-08
640000.E+02  3065.90E-04  6229.96E-08
650000.E+02  3113.56E-04  3146.50E-08
660000.E+02  3157.26E-04  2674.25E-07
670000.E+02  3208.65E-04  4307.41E-08
680000.E+02  3258.09E-04  3714.89E-08
690000.E+02  3311.01E-04  2967.36E-08
700000.E+02  3371.22E-04  6660.18E-08
710000.E+02  3438.17E-04  4293.42E-08
720000.E+02  3497.18E-04  3355.00E-08
730000.E+02  3567.70E-04  4792.88E-08
740000.E+02  3643.38E-04  3308.44E-08
750000.E+02  3724.35E-04  1232.94E-07
760000.E+02  3813.35E-04  6777.62E-08
770000.E+02  3901.20E-04  4562.08E-08
780000.E+02  4006.06E-04  5000.84E-08
790000.E+02  4114.91E-04  5926.92E-08
800000.E+02  4234.76E-04  5526.78E-08
810000.E+02  4460.52E-04  1693.84E-07
820000.E+02  4605.20E-04  7042.76E-08
830000.E+02  4773.64E-04  5587.80E-08
840000.E+02  4966.77E-04  8265.78E-08
850000.E+02  5191.02E-04  8771.92E-08
860000.E+02  5445.84E-04  5744.23E-08
870000.E+02  5761.12E-04  1875.74E-07
880000.E+02  6123.33E-04  1555.15E-07
890000.E+02  6598.02E-04  1298.81E-07
900000.E+02  7224.63E-04  1120.03E-07
910000.E+02  8114.22E-04  9844.01E-08
