====== 36.5 MeV H into skin/skull/brain/tumour =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 36500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Skin_Human (W&W type 1)
Layer Width =     1.E+07 AAA ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer  2 : Cortical Bone  Adult (W&W)
Layer Width =     4.E+07 AAA ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer  3 : Brain (ICRP)
Layer Width =     3.E+07 AAA ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer  4 : Brain Tumour (ICRP brain comp.)
Layer Width =     2.E+07 AAA ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100000.E+01  117381.E-10  166296.E-10
200000.E+01  117198.E-10  185751.E-10
300000.E+01  117449.E-10  183652.E-10
400000.E+01  119587.E-10  170403.E-10
500000.E+01  119520.E-10  204917.E-10
600000.E+01  120529.E-10  190756.E-10
700000.E+01  118962.E-10  229004.E-10
800000.E+01  121379.E-10  192000.E-10
900000.E+01  122319.E-10  207399.E-10
100000.E+02  127742.E-10  205603.E-10
110000.E+02  172368.E-10  301526.E-10
120000.E+02  174356.E-10  385717.E-10
130000.E+02  176335.E-10  332255.E-10
140000.E+02  175253.E-10  400004.E-10
150000.E+02  175661.E-10  390784.E-10
160000.E+02  178382.E-10  313719.E-10
170000.E+02  181240.E-10  438396.E-10
180000.E+02  181447.E-10  367272.E-10
190000.E+02  185787.E-10  353367.E-10
200000.E+02  185788.E-10  314224.E-10
210000.E+02  187111.E-10  343825.E-10
220000.E+02  188883.E-10  393078.E-10
230000.E+02  191805.E-10  343176.E-10
240000.E+02  190862.E-10  374718.E-10
250000.E+02  193692.E-10  436128.E-10
260000.E+02  195572.E-10  447937.E-10
270000.E+02  198334.E-10  383186.E-10
280000.E+02  199956.E-10  441379.E-10
290000.E+02  204076.E-10  461261.E-10
300000.E+02  205151.E-10  385813.E-10
310000.E+02  209779.E-10  388785.E-10
320000.E+02  211234.E-10  395905.E-10
330000.E+02  211932.E-10  439645.E-10
340000.E+02  215600.E-10  392588.E-10
350000.E+02  217866.E-10  438198.E-10
360000.E+02  222060.E-10  413712.E-10
370000.E+02  222208.E-10  420228.E-10
380000.E+02  227560.E-10  554940.E-10
390000.E+02  230106.E-10  459690.E-10
400000.E+02  232667.E-10  490545.E-10
410000.E+02  238626.E-10  479270.E-10
420000.E+02  242286.E-10  435253.E-10
430000.E+02  244775.E-10  512461.E-10
440000.E+02  247180.E-10  451667.E-10
450000.E+02  250791.E-10  458981.E-10
460000.E+02  254130.E-10  683529.E-10
470000.E+02  258660.E-10  542980.E-10
480000.E+02  263923.E-10  551851.E-10
490000.E+02  267437.E-10  527478.E-10
500000.E+02  281599.E-10  636190.E-10
510000.E+02  162814.E-10  289675.E-10
520000.E+02  162031.E-10  301853.E-10
530000.E+02  165331.E-10  308333.E-10
540000.E+02  167040.E-10  380623.E-10
550000.E+02  169048.E-10  303465.E-10
560000.E+02  170533.E-10  338046.E-10
570000.E+02  173319.E-10  287555.E-10
580000.E+02  178802.E-10  328975.E-10
590000.E+02  178944.E-10  298234.E-10
600000.E+02  183041.E-10  327034.E-10
610000.E+02  184385.E-10  329427.E-10
620000.E+02  187726.E-10  343016.E-10
630000.E+02  189749.E-10  379599.E-10
640000.E+02  195915.E-10  405601.E-10
650000.E+02  195310.E-10  349253.E-10
660000.E+02  201867.E-10  412827.E-10
670000.E+02  204190.E-10  385796.E-10
680000.E+02  208138.E-10  428603.E-10
690000.E+02  213617.E-10  388314.E-10
700000.E+02  217164.E-10  468168.E-10
710000.E+02  222169.E-10  440977.E-10
720000.E+02  227452.E-10  458098.E-10
730000.E+02  231391.E-10  507875.E-10
740000.E+02  239865.E-10  418674.E-10
750000.E+02  246508.E-10  524248.E-10
760000.E+02  251351.E-10  552175.E-10
770000.E+02  258883.E-10  551091.E-10
780000.E+02  265438.E-10  530851.E-10
790000.E+02  275771.E-10  573942.E-10
800000.E+02  294480.E-10  650993.E-10
810000.E+02  302206.E-10  573391.E-10
820000.E+02  313583.E-10  625849.E-10
830000.E+02  327281.E-10  689721.E-10
840000.E+02  345684.E-10  655176.E-10
850000.E+02  363850.E-10  735471.E-10
860000.E+02  386437.E-10  730040.E-10
870000.E+02  411180.E-10  891822.E-10
880000.E+02  438538.E-10  863046.E-10
890000.E+02  484824.E-10  960788.E-10
900000.E+02  544100.E-10  108550.E-09
910000.E+02  641093.E-10  129482.E-09
920000.E+02  817585.E-10  173685.E-09
930000.E+02  116455.E-09  248855.E-09
940000.E+02  151009.E-09  327996.E-09
950000.E+02  157863.E-09  341517.E-09
960000.E+02  120904.E-09  256199.E-09
970000.E+02  594373.E-10  123448.E-09
980000.E+02  214641.E-10  465348.E-10
990000.E+02  555910.E-11  106521.E-10
100000.E+03  837006.E-12  153136.E-11
