====== H (10) into Skin_Human (W&W type 1)+Cort =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 39000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Skin_Human (W&W type 1)
Layer Width =     1.E+07 AAA ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
Layer  2 : Cortical Bone  Adult (W&W)
Layer Width =     4.E+07 AAA ;
  Layer # 2- Density = 9.946E22 atoms/cm3 = 1.92 g/cm3
  Layer # 2- Ca = 6.53 Atomic Percent = 22.5 Mass Percent
  Layer # 2-  P = 3.86 Atomic Percent = 10.3 Mass Percent
  Layer # 2-  H = 39.2 Atomic Percent = 3.40 Mass Percent
  Layer # 2-  C = 15.0 Atomic Percent = 15.5 Mass Percent
  Layer # 2-  N = 3.48 Atomic Percent = 4.20 Mass Percent
  Layer # 2-  O = 31.6 Atomic Percent = 43.5 Mass Percent
  Layer # 2-  S = .108 Atomic Percent = .300 Mass Percent
  Layer # 2- Mg = 9.57 Atomic Percent = .200 Mass Percent
Layer  3 : Brain (ICRP)
Layer Width =     3.E+07 AAA ;
  Layer # 3- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 3-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 3-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 3-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 3-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 3-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 3-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 3- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 3- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer  4 : Brain Tumour (ICRP brain comp.)
Layer Width =     2.E+07 AAA ;
  Layer # 4- Density = 10.62E22 atoms/cm3 = 1.05 g/cm3
  Layer # 4-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 4-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 4-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 4-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 4-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 4-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 4- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 4- Na = 4.65 Atomic Percent = .179 Mass Percent
Layer  5 : Brain backing (ICRP)
Layer Width =     4.E+07 AAA ;
  Layer # 5- Density = 10.41E22 atoms/cm3 = 1.03 g/cm3
  Layer # 5-  O = 27.5 Atomic Percent = 73.9 Mass Percent
  Layer # 5-  C = 6.23 Atomic Percent = 12.5 Mass Percent
  Layer # 5-  H = 65.4 Atomic Percent = 11.0 Mass Percent
  Layer # 5-  N = .565 Atomic Percent = 1.33 Mass Percent
  Layer # 5-  P = 6.72 Atomic Percent = .350 Mass Percent
  Layer # 5-  K = 4.71 Atomic Percent = .309 Mass Percent
  Layer # 5- Cl = 4.02 Atomic Percent = .240 Mass Percent
  Layer # 5- Na = 4.65 Atomic Percent = .179 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140000.E+01  110035.E-10  174500.E-10
280000.E+01  110395.E-10  193087.E-10
420000.E+01  111944.E-10  181361.E-10
560000.E+01  111747.E-10  162486.E-10
700000.E+01  112330.E-10  167657.E-10
840000.E+01  113003.E-10  176782.E-10
980000.E+01  113211.E-10  160813.E-10
112000.E+02  158106.E-10  245772.E-10
126000.E+02  162272.E-10  316834.E-10
140000.E+02  162848.E-10  307818.E-10
154000.E+02  164354.E-10  400509.E-10
168000.E+02  166922.E-10  360898.E-10
182000.E+02  168284.E-10  317162.E-10
196000.E+02  171588.E-10  348473.E-10
210000.E+02  173011.E-10  322044.E-10
224000.E+02  173740.E-10  396328.E-10
238000.E+02  176024.E-10  389423.E-10
252000.E+02  177675.E-10  333267.E-10
266000.E+02  179831.E-10  351009.E-10
280000.E+02  183126.E-10  358128.E-10
294000.E+02  185327.E-10  318743.E-10
308000.E+02  186761.E-10  326309.E-10
322000.E+02  190645.E-10  365990.E-10
336000.E+02  193513.E-10  404146.E-10
350000.E+02  195196.E-10  388360.E-10
364000.E+02  198118.E-10  408994.E-10
378000.E+02  200678.E-10  376276.E-10
392000.E+02  203293.E-10  491086.E-10
406000.E+02  207562.E-10  453339.E-10
420000.E+02  210718.E-10  550801.E-10
434000.E+02  214751.E-10  433880.E-10
448000.E+02  218212.E-10  416067.E-10
462000.E+02  221019.E-10  489062.E-10
476000.E+02  226254.E-10  527767.E-10
490000.E+02  231266.E-10  484177.E-10
504000.E+02  213567.E-10  550073.E-10
518000.E+02  137728.E-10  237640.E-10
532000.E+02  139349.E-10  301267.E-10
546000.E+02  141195.E-10  263874.E-10
560000.E+02  143311.E-10  305662.E-10
574000.E+02  146105.E-10  286869.E-10
588000.E+02  148946.E-10  297283.E-10
602000.E+02  150555.E-10  262276.E-10
616000.E+02  153037.E-10  292715.E-10
630000.E+02  155045.E-10  274902.E-10
644000.E+02  157009.E-10  315556.E-10
658000.E+02  158497.E-10  315604.E-10
672000.E+02  162435.E-10  340320.E-10
686000.E+02  166026.E-10  301933.E-10
700000.E+02  168293.E-10  338899.E-10
714000.E+02  171267.E-10  333524.E-10
728000.E+02  174820.E-10  341913.E-10
742000.E+02  178348.E-10  310835.E-10
756000.E+02  181359.E-10  394961.E-10
770000.E+02  186242.E-10  365075.E-10
784000.E+02  190852.E-10  375498.E-10
798000.E+02  194636.E-10  332156.E-10
812000.E+02  210406.E-10  356364.E-10
826000.E+02  211392.E-10  471459.E-10
840000.E+02  215551.E-10  378699.E-10
854000.E+02  220781.E-10  372859.E-10
868000.E+02  228134.E-10  419527.E-10
882000.E+02  236042.E-10  497018.E-10
896000.E+02  244311.E-10  497374.E-10
910000.E+02  255534.E-10  488069.E-10
924000.E+02  266005.E-10  521347.E-10
938000.E+02  277736.E-10  567683.E-10
952000.E+02  289615.E-10  525525.E-10
966000.E+02  305923.E-10  598789.E-10
980000.E+02  325333.E-10  656196.E-10
994000.E+02  349807.E-10  654898.E-10
100800.E+03  381836.E-10  685867.E-10
102200.E+03  403691.E-10  875640.E-10
103600.E+03  452327.E-10  874129.E-10
105000.E+03  524534.E-10  110881.E-09
106400.E+03  671741.E-10  148802.E-09
107800.E+03  969522.E-10  210957.E-09
109200.E+03  139602.E-09  292918.E-09
110600.E+03  136386.E-09  279622.E-09
112000.E+03  836358.E-10  178309.E-09
113400.E+03  286306.E-10  625952.E-10
114800.E+03  544253.E-11  108947.E-10
116200.E+03  542568.E-12  898098.E-12
117600.E+03  000000.E+00  000000.E+00
119000.E+03  000000.E+00  000000.E+00
120400.E+03  000000.E+00  000000.E+00
121800.E+03  000000.E+00  000000.E+00
123200.E+03  000000.E+00  000000.E+00
124600.E+03  000000.E+00  000000.E+00
126000.E+03  000000.E+00  000000.E+00
127400.E+03  000000.E+00  000000.E+00
128800.E+03  000000.E+00  000000.E+00
130200.E+03  000000.E+00  000000.E+00
131600.E+03  000000.E+00  000000.E+00
133000.E+03  000000.E+00  000000.E+00
