job,energy_keV,ions,range_A,strag_A,vac_per_ion,backscatt,transmit,sputter_yield,Y_Ga,Y_As
01_H_10MeV_Be,,10000,8027300.0,129170.0,40.41,0,0,,,
02_H_2MeV_Si,,10000,482150.0,12554.0,50.73,0,0,,,
03_B_200keV_Si,,10000,5690.7,1053.0,795.17,7,0,,,
04_H_200keV_Si,,10000,18495.0,1101.0,21.25,3,0,,,
05_Ar_1keV_GaAs,1,20000,25.7,15.3,22.8,1640,0,1.938,0.587,1.351
06_Ar_3keV_GaAs,3,20000,49.8,29.3,63.55,1402,0,2.777,0.854,1.923
07_Ar_10keV_GaAs,10,20000,112.0,63.7,197.26,1029,0,3.38,1.074,2.306
08_Ar_30keV_GaAs,30,20000,265.0,141.6,548.61,751,0,3.367,1.07,2.297
09_Ar_100keV_GaAs,100,15000,761.3,359.3,1597.4,294,0,3.487,1.113,2.374
10_Ar_300keV_GaAs,300,10000,2226.2,852.8,3764.5,84,0,3.086,0.986,2.1
11_Ar_1MeV_GaAs,1000,8000,7046.2,1949.7,7827.0,20,0,1.476,0.472,1.004
