Sample,,Ip,Hall,voltage,UH,Sample.1,voltage.1,Up,Sample.2,temperature,Tp,Flux,density,B
Ip/mA,UH/mV,Up/V,Tp/°C,B/mT,,,,,,,,,,
-30,124.813,-1.458,24.575,248.539,,,,,,,,,,
-25,102.401,-1.194,24.668,248.715,,,,,,,,,,
-20,84.33,-0.985,24.702,248.539,,,,,,,,,,
-15,61.671,-0.716,24.668,248.891,,,,,,,,,,
-10,41.01,-0.477,24.601,248.891,,,,,,,,,,
-5,20.278,-0.236,24.55,248.715,,,,,,,,,,
0,0.399,-0.002,24.389,248.891,,,,,,,,,,
5,-18.476,0.223,24.829,248.715,,,,,,,,,,
10,-38.859,0.458,24.592,248.891,,,,,,,,,,
15,-62.128,0.728,24.702,248.539,,,,,,,,,,
20,-82.126,0.963,24.871,248.539,,,,,,,,,,
26,-103.831,1.213,24.795,248.715,,,,,,,,,,
30,-121.065,1.413,24.93,248.539,,,,,,,,,,
