Sample,current,Ip,Hall,voltage,UH,Sample.1,temperature,Tp,Flux,density,B
Ip/mA,UH/mV,Tp/°C,B/mT,,,,,,,,
-30,-34.017,24.668,249.367,,,,,,,,
-25,-28.918,24.651,249.543,,,,,,,,
-20,-23.480,24.634,252.713,,,,,,,,
-15,-17.804,24.542,249.543,,,,,,,,
-10,-12.385,24.567,255.883,,,,,,,,
-5,-5.873,24.127,249.895,,,,,,,,
0,-0.735,24.398,518.810,,,,,,,,
5,4.793,24.356,253.065,,,,,,,,
10,10.706,24.364,249.719,,,,,,,,
15,15.828,24.330,252.713,,,,,,,,
20,21.638,24.465,252.713,,,,,,,,
25,27.370,24.558,249.367,,,,,,,,
30,33.078,24.744,518.282,,,,,,,,
