Sample,current,Ip,Hall,voltage,UH,Sample.1,temperature,Tp,Flux,density,B
Ip/mA,UH/mV,Tp/°C,B/mT,,,,,,,,
-30,123.993,21.313,248.539,,,,,,,,
-25,105.520,21.288,248.715,,,,,,,,
-20,84.314,21.263,248.539,,,,,,,,
-15,64.602,21.077,248.891,,,,,,,,
-10,44.858,21.094,248.539,,,,,,,,
-5,24.919,21.085,248.891,,,,,,,,
0,1.183,21.372,252.061,,,,,,,,
5,-19.356,21.051,248.891,,,,,,,,
10,-37.173,21.313,249.068,,,,,,,,
15,-57.121,21.499,249.244,,,,,,,,
20,-79.636,21.541,252.238,,,,,,,,
25,-101.396,21.550,252.414,,,,,,,,
30,-122.603,21.668,249.596,,,,,,,,
