Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up,Sample.1,current,Ip,Sample.2,temperature,Tp
B/mT,UH/mV,Up/V,Ip/mA,Tp/°C,,,,,,,,,,
-298.642,-35.585,1.535,29.962,24.913,,,,,,,,,,
-282.616,-32.410,1.534,29.995,24.989,,,,,,,,,,
-260.603,-28.576,1.530,30.029,25.133,,,,,,,,,,
-238.941,-24.774,1.527,29.962,25.218,,,,,,,,,,
-221.155,-21.454,1.526,30.029,25.277,,,,,,,,,,
-200.550,-17.646,1.523,29.962,25.336,,,,,,,,,,
-179.946,-13.654,1.524,30.012,25.623,,,,,,,,,,
-161.102,-9.987,1.520,30.095,25.412,,,,,,,,,,
-141.202,-5.929,1.517,30.045,25.437,,,,,,,,,,
-121.478,-1.706,1.515,30.045,25.547,,,,,,,,,,
-98.223,3.390,1.513,29.995,25.496,,,,,,,,,,
-79.715,7.504,1.514,29.995,25.471,,,,,,,,,,
-60.061,12.013,1.512,30.029,25.606,,,,,,,,,,
-39.580,16.608,1.514,29.879,25.505,,,,,,,,,,
-21.511,20.673,1.511,29.946,25.539,,,,,,,,,,
-0.342,25.535,1.509,29.962,25.412,,,,,,,,,,
22.480,30.328,1.512,29.929,25.378,,,,,,,,,,
41.200,34.172,1.513,29.995,25.454,,,,,,,,,,
59.057,37.789,1.513,30.012,25.649,,,,,,,,,,
79.451,41.906,1.513,29.995,25.564,,,,,,,,,,
100.064,46.205,1.517,29.863,25.564,,,,,,,,,,
121.020,50.566,1.519,29.929,25.589,,,,,,,,,,
138.807,54.210,1.522,30.045,25.488,,,,,,,,,,
160.468,58.703,1.523,29.879,25.496,,,,,,,,,,
183.186,62.949,1.523,29.962,25.480,,,,,,,,,,
200.797,67.092,1.525,30.012,25.530,,,,,,,,,,
220.697,71.279,1.529,29.979,25.530,,,,,,,,,,
240.597,75.183,1.532,29.912,25.513,,,,,,,,,,
262.786,79.603,1.536,29.929,25.547,,,,,,,,,,
279.164,82.821,1.537,30.012,25.547,,,,,,,,,,
299.945,86.787,1.542,29.912,25.387,,,,,,,,,,
