Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up,Sample.1,current,Ip,Sample.2,temperature,Tp
B/mT,UH/mV,Up/V,Ip/mA,Tp/°C,,,,,,,,,,
-296.070,-2.872,1.401,29.647,22.539,,,,,,,,,,
-279.693,-6.977,1.400,29.597,22.361,,,,,,,,,,
-261.906,-10.669,1.398,29.564,22.488,,,,,,,,,,
-238.307,-15.040,1.395,29.647,22.344,,,,,,,,,,
-221.577,-18.977,1.394,29.630,22.446,,,,,,,,,,
-202.734,-23.032,1.392,29.647,22.446,,,,,,,,,,
-160.116,-31.840,1.392,29.663,22.310,,,,,,,,,,
-140.921,-35.925,1.392,29.630,22.327,,,,,,,,,,
-121.901,-39.910,1.389,29.746,22.277,,,,,,,,,,
-99.682,-44.808,1.387,29.630,22.336,,,,,,,,,,
-80.328,-49.259,1.388,29.613,22.319,,,,,,,,,,
-61.097,-53.758,1.388,29.613,22.344,,,,,,,,,,
-40.070,-58.834,1.387,29.630,22.378,,,,,,,,,,
-19.976,-63.548,1.389,29.630,22.327,,,,,,,,,,
-16.771,-63.571,1.389,29.647,22.327,,,,,,,,,,
0.248,-68.166,1.389,29.647,22.184,,,,,,,,,,
22.994,-72.580,1.387,29.680,22.302,,,,,,,,,,
40.992,-77.021,1.387,29.613,22.268,,,,,,,,,,
61.562,-81.323,1.386,29.697,22.353,,,,,,,,,,
78.767,-84.890,1.388,29.580,22.234,,,,,,,,,,
99.113,-88.648,1.386,29.663,22.285,,,,,,,,,,
123.416,-93.105,1.390,29.564,22.310,,,,,,,,,,
142.083,-97.812,1.388,29.580,22.361,,,,,,,,,,
164.624,-101.904,1.391,29.663,22.192,,,,,,,,,,
180.474,-106.509,1.394,29.547,22.074,,,,,,,,,,
201.783,-111.430,1.393,29.647,22.285,,,,,,,,,,
223.444,-115.752,1.399,29.647,22.251,,,,,,,,,,
238.061,-27.627,1.392,29.580,22.319,,,,,,,,,,
240.350,-120.189,1.399,29.613,22.192,,,,,,,,,,
264.125,-125.153,1.401,29.730,22.201,,,,,,,,,,
280.327,-131.118,1.403,29.780,22.175,,,,,,,,,,
299.170,-134.837,1.403,29.613,22.310,,,,,,,,,,
