Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up,Sample.1,current,Ip,Sample.2,temperature,Tp
B/mT,UH/mV,Up/V,Ip/mA,Tp/°C,,,,,,,,,,
-307.429,-2.312,1.405,29.530,23.189,,,,,,,,,,
-307.253,-2.451,1.406,29.497,23.291,,,,,,,,,,
-300.033,-3.281,1.405,29.564,23.257,,,,,,,,,,
-296.687,-3.870,1.402,29.580,23.274,,,,,,,,,,
-294.045,-4.638,1.403,29.497,23.147,,,,,,,,,,
-289.114,-5.471,1.402,29.497,23.282,,,,,,,,,,
-277.843,-7.141,1.402,29.564,23.172,,,,,,,,,,
-267.629,-9.144,1.401,29.464,23.215,,,,,,,,,,
-262.346,-10.294,1.400,29.514,23.257,,,,,,,,,,
-255.126,-11.849,1.400,29.547,23.088,,,,,,,,,,
-250.195,-12.669,1.400,29.580,23.147,,,,,,,,,,
-240.685,-14.616,1.397,29.530,23.240,,,,,,,,,,
-231.351,-16.322,1.397,29.547,23.215,,,,,,,,,,
-222.194,-18.246,1.397,29.414,23.274,,,,,,,,,,
-219.024,-18.852,1.396,29.547,23.240,,,,,,,,,,
-211.099,-20.420,1.396,29.514,23.232,,,,,,,,,,
-203.703,-21.852,1.396,29.530,23.249,,,,,,,,,,
-192.432,-24.112,1.397,29.497,23.325,,,,,,,,,,
-183.274,-26.069,1.396,29.530,23.392,,,,,,,,,,
-176.758,-27.106,1.394,29.514,23.249,,,,,,,,,,
-168.833,-28.701,1.395,29.530,23.333,,,,,,,,,,
-157.034,-31.112,1.391,29.613,23.096,,,,,,,,,,
-153.336,-31.817,1.393,29.597,23.122,,,,,,,,,,
-147.525,-33.013,1.394,29.464,23.291,,,,,,,,,,
-137.310,-34.989,1.393,29.613,23.198,,,,,,,,,,
-131.675,-36.257,1.392,29.497,23.156,,,,,,,,,,
-120.404,-38.444,1.394,29.597,23.232,,,,,,,,,,
-113.355,-39.900,1.390,29.597,23.282,,,,,,,,,,
-106.229,-41.445,1.390,29.547,23.189,,,,,,,,,,
-100.664,-42.700,1.390,29.630,23.215,,,,,,,,,,
-96.367,-43.639,1.390,29.630,23.164,,,,,,,,,,
-83.018,-46.696,1.391,29.547,23.223,,,,,,,,,,
-80.518,-47.239,1.392,29.514,23.223,,,,,,,,,,
-76.027,-48.119,1.390,29.613,23.265,,,,,,,,,,
-71.888,-48.919,1.389,29.580,23.265,,,,,,,,,,
-64.140,-50.751,1.389,29.564,23.249,,,,,,,,,,
-62.572,-51.314,1.388,29.530,23.282,,,,,,,,,,
-61.040,-51.548,1.390,29.547,23.164,,,,,,,,,,
-58.117,-52.329,1.391,29.530,23.113,,,,,,,,,,
-54.683,-52.948,1.391,29.497,23.147,,,,,,,,,,
-46.212,-54.934,1.389,29.547,23.249,,,,,,,,,,
-40.207,-56.334,1.389,29.547,23.181,,,,,,,,,,
-30.926,-58.251,1.388,29.564,23.172,,,,,,,,,,
-27.703,-59.220,1.390,29.564,23.215,,,,,,,,,,
-23.952,-60.047,1.388,29.547,23.350,,,,,,,,,,
-21.592,-60.514,1.388,29.564,23.189,,,,,,,,,,
-19.673,-60.979,1.391,29.497,23.206,,,,,,,,,,
-18.986,-61.087,1.389,29.497,23.198,,,,,,,,,,
-7.734,-63.499,1.387,29.630,23.139,,,,,,,,,,
-1.400,-65.189,1.386,29.630,23.265,,,,,,,,,,
-1.372,-65.179,1.388,29.514,23.189,,,,,,,,,,
-1.358,-65.235,1.388,29.514,23.198,,,,,,,,,,
-1.351,-65.225,1.388,29.597,23.223,,,,,,,,,,
-1.342,-65.195,1.388,29.580,23.206,,,,,,,,,,
-1.333,-65.248,1.390,29.464,23.206,,,,,,,,,,
-1.317,-65.198,1.388,29.547,23.181,,,,,,,,,,
