Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up,Sample.1,current,Ip,Sample.2,temperature,Tp
B/mT,UH/mV,Up/V,Ip/mA,Tp/°C,,,,,,,,,,
-0.211,-66.677,1.420,30.062,23.468,,,,,,,,,,
-0.188,-66.671,1.419,30.062,23.375,,,,,,,,,,
-0.174,-66.671,1.418,30.162,23.401,,,,,,,,,,
-0.169,-66.635,1.420,30.029,23.401,,,,,,,,,,
-0.160,-66.638,1.420,30.079,23.367,,,,,,,,,,
-0.142,-66.612,1.419,30.095,23.485,,,,,,,,,,
-0.121,-66.618,1.421,30.045,23.460,,,,,,,,,,
3.179,-67.791,1.418,30.128,23.502,,,,,,,,,,
15.007,-70.255,1.419,30.095,23.553,,,,,,,,,,
19.152,-70.927,1.419,30.079,23.468,,,,,,,,,,
21.441,-71.467,1.419,30.012,23.443,,,,,,,,,,
23.272,-71.908,1.420,30.012,23.358,,,,,,,,,,
27.552,-72.775,1.421,30.062,23.511,,,,,,,,,,
29.154,-73.114,1.418,30.045,23.409,,,,,,,,,,
35.389,-74.415,1.416,30.128,23.511,,,,,,,,,,
39.862,-75.607,1.417,30.112,23.511,,,,,,,,,,
45.885,-76.803,1.420,30.062,23.409,,,,,,,,,,
50.111,-77.670,1.421,30.012,23.333,,,,,,,,,,
57.085,-79.152,1.419,30.095,23.350,,,,,,,,,,
62.615,-80.166,1.419,30.062,23.561,,,,,,,,,,
67.105,-80.983,1.419,30.112,23.460,,,,,,,,,,
75.400,-82.851,1.420,30.062,23.451,,,,,,,,,,
91.796,-86.109,1.422,30.045,23.358,,,,,,,,,,
97.220,-87.011,1.420,30.095,23.460,,,,,,,,,,
101.499,-88.095,1.417,30.178,23.460,,,,,,,,,,
107.064,-89.159,1.418,30.145,23.485,,,,,,,,,,
112.321,-90.299,1.423,29.979,23.494,,,,,,,,,,
113.377,-90.427,1.423,29.995,23.409,,,,,,,,,,
116.195,-90.961,1.419,30.112,23.409,,,,,,,,,,
116.723,-91.149,1.422,30.112,23.587,,,,,,,,,,
120.422,-92.031,1.420,30.128,23.426,,,,,,,,,,
125.705,-93.069,1.420,30.079,23.502,,,,,,,,,,
129.403,-93.945,1.421,29.995,23.570,,,,,,,,,,
133.630,-94.657,1.418,30.178,23.460,,,,,,,,,,
136.624,-95.316,1.418,30.178,23.536,,,,,,,,,,
139.265,-95.961,1.419,30.079,23.460,,,,,,,,,,
143.139,-96.702,1.422,30.062,23.477,,,,,,,,,,
150.712,-98.366,1.424,30.062,23.477,,,,,,,,,,
154.762,-99.219,1.420,30.145,23.502,,,,,,,,,,
161.102,-100.303,1.422,30.012,23.553,,,,,,,,,,
164.272,-101.255,1.428,29.929,23.485,,,,,,,,,,
167.618,-101.923,1.426,29.962,23.544,,,,,,,,,,
171.845,-102.977,1.422,29.995,23.477,,,,,,,,,,
174.663,-103.534,1.425,29.979,23.477,,,,,,,,,,
179.770,-104.654,1.426,30.128,23.511,,,,,,,,,,
183.644,-105.428,1.423,30.145,23.511,,,,,,,,,,
188.927,-106.581,1.426,30.062,23.646,,,,,,,,,,
190.512,-106.874,1.421,30.178,23.502,,,,,,,,,,
198.261,-108.594,1.428,30.079,23.637,,,,,,,,,,
203.016,-109.664,1.424,29.995,23.409,,,,,,,,,,
207.947,-111.147,1.427,30.079,23.451,,,,,,,,,,
217.456,-113.403,1.425,30.012,23.443,,,,,,,,,,
229.432,-115.732,1.425,30.095,23.637,,,,,,,,,,
234.010,-116.503,1.426,30.045,23.426,,,,,,,,,,
241.407,-118.209,1.427,30.062,23.519,,,,,,,,,,
246.514,-119.441,1.427,30.128,23.511,,,,,,,,,,
257.961,-121.902,1.430,30.045,23.502,,,,,,,,,,
262.540,-122.854,1.428,30.079,23.553,,,,,,,,,,
269.760,-124.540,1.430,30.112,23.485,,,,,,,,,,
274.163,-125.564,1.430,30.112,23.468,,,,,,,,,,
280.327,-126.922,1.430,30.012,23.536,,,,,,,,,,
284.201,-127.692,1.432,30.062,23.485,,,,,,,,,,
290.893,-129.320,1.431,30.112,23.544,,,,,,,,,,
295.648,-130.420,1.431,30.112,23.561,,,,,,,,,,
300.403,-131.329,1.434,30.079,23.401,,,,,,,,,,
302.868,-131.770,1.433,30.045,23.587,,,,,,,,,,
428.784,-90.892,1.420,30.029,23.392,,,,,,,,,,
