Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up,Sample.1,current,Ip,Sample.2,temperature,Tp
B/mT,UH/mV,Up/V,Ip/mA,Tp/°C,,,,,,,,,,
-300.561,-1.430,1.402,29.547,23.012,,,,,,,,,,
-279.428,-5.254,1.401,29.514,23.029,,,,,,,,,,
-260.761,-8.736,1.399,29.580,22.961,,,,,,,,,,
-240.509,-13.179,1.397,29.630,23.063,,,,,,,,,,
-218.495,-17.626,1.396,29.647,22.944,,,,,,,,,,
-199.476,-21.572,1.396,29.530,23.113,,,,,,,,,,
-180.633,-25.486,1.395,29.481,23.046,,,,,,,,,,
-158.443,-30.064,1.392,29.564,23.046,,,,,,,,,,
-140.480,-33.747,1.390,29.547,22.987,,,,,,,,,,
-121.989,-37.697,1.392,29.564,22.978,,,,,,,,,,
-99.296,-42.648,1.391,29.564,23.003,,,,,,,,,,
-77.947,-47.381,1.390,29.547,23.029,,,,,,,,,,
-59.279,-51.739,1.391,29.530,22.995,,,,,,,,,,
-40.682,-56.100,1.388,29.613,22.877,,,,,,,,,,
-37.618,-56.344,1.389,29.564,23.037,,,,,,,,,,
-20.906,-60.682,1.388,29.580,23.029,,,,,,,,,,
-14.178,-62.333,1.387,29.497,22.936,,,,,,,,,,
-0.641,-65.212,1.388,29.580,22.818,,,,,,,,,,
13.260,-68.822,1.388,29.564,22.843,,,,,,,,,,
16.852,-69.145,1.386,29.580,22.885,,,,,,,,,,
18.190,-69.346,1.389,29.530,22.910,,,,,,,,,,
39.182,-73.954,1.388,29.580,23.003,,,,,,,,,,
59.874,-78.121,1.386,29.613,22.919,,,,,,,,,,
79.052,-81.978,1.387,29.647,22.877,,,,,,,,,,
100.434,-86.241,1.390,29.497,22.885,,,,,,,,,,
119.277,-90.035,1.388,29.597,22.843,,,,,,,,,,
142.699,-94.858,1.389,29.580,22.860,,,,,,,,,,
160.662,-98.132,1.391,29.630,22.927,,,,,,,,,,
178.801,-101.307,1.392,29.647,22.758,,,,,,,,,,
200.638,-105.856,1.388,29.647,22.919,,,,,,,,,,
219.129,-109.760,1.395,29.580,22.936,,,,,,,,,,
240.086,-114.246,1.398,29.564,22.818,,,,,,,,,,
259.810,-119.981,1.399,29.547,22.818,,,,,,,,,,
279.886,-125.364,1.400,29.547,22.784,,,,,,,,,,
300.315,-130.390,1.403,29.514,22.826,,,,,,,,,,
419.010,-86.310,1.389,29.630,22.860,,,,,,,,,,
537.354,-125.275,1.401,29.464,22.725,,,,,,,,,,
