Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up
B/mT,UH/mV,Up/V,,,,,,
-298.800,-37.802,1.480,,,,,,
-280.133,-34.828,1.475,,,,,,
-260.233,-32.298,1.474,,,,,,
-238.572,-28.319,1.470,,,,,,
-219.552,-24.359,1.467,,,,,,
-200.533,-20.594,1.464,,,,,,
-180.104,-16.681,1.461,,,,,,
-159.324,-12.603,1.458,,,,,,
-139.071,-8.538,1.453,,,,,,
-121.461,-5.376,1.454,,,,,,
-101.344,-1.044,1.451,,,,,,
-79.894,3.650,1.450,,,,,,
-57.969,8.031,1.448,,,,,,
-39.777,13.097,1.449,,,,,,
-19.754,18.130,1.447,,,,,,
0.175,23.177,1.446,,,,,,
20.522,28.108,1.448,,,,,,
40.140,32.739,1.448,,,,,,
58.261,36.732,1.449,,,,,,
80.873,41.551,1.452,,,,,,
98.673,45.339,1.455,,,,,,
120.334,49.921,1.454,,,,,,
141.643,54.453,1.458,,,,,,
159.077,58.245,1.457,,,,,,
184.084,63.031,1.459,,,,,,
199.229,67.336,1.469,,,,,,
220.362,71.628,1.468,,,,,,
239.558,76.013,1.473,,,,,,
263.332,79.985,1.478,,,,,,
285.522,85.111,1.481,,,,,,
300.315,88.856,1.488,,,,,,
