Flux,density,B,Hall,voltage,UH,Sample,voltage.1,Up,Sample.1,current,Ip
B/T,UH/mV,Up/V,Ip/mA,,,,,,,,
-0.299636,0.867,-0.020,0.050,,,,,,,,
-0.280493,0.940,-0.015,-0.084,,,,,,,,
-0.257096,0.870,-0.015,0.084,,,,,,,,
-0.240612,0.768,-0.014,-0.067,,,,,,,,
-0.220584,0.774,-0.012,0.000,,,,,,,,
-0.200909,0.718,-0.013,0.050,,,,,,,,
-0.180526,0.728,-0.014,0.034,,,,,,,,
-0.160320,0.692,-0.015,0.017,,,,,,,,
-0.139759,0.619,-0.016,0.017,,,,,,,,
-0.120971,0.599,-0.012,0.067,,,,,,,,
-0.100488,0.556,-0.006,-0.067,,,,,,,,
-0.079981,0.513,-0.013,-0.135,,,,,,,,
-0.059456,0.430,-0.011,-0.034,,,,,,,,
-0.040597,0.420,-0.013,0.000,,,,,,,,
-0.019788,0.354,-0.018,0.000,,,,,,,,
0.006844,0.407,-0.012,0.067,,,,,,,,
0.019969,0.281,-0.009,0.017,,,,,,,,
0.041150,0.334,-0.015,0.135,,,,,,,,
0.060416,0.122,-0.010,0.067,,,,,,,,
0.080569,0.149,-0.009,-0.084,,,,,,,,
0.101474,0.053,-0.017,-0.118,,,,,,,,
0.120971,-0.017,-0.009,-0.050,,,,,,,,
0.140468,-0.096,-0.016,-0.050,,,,,,,,
0.160851,-0.122,-0.010,0.000,,,,,,,,
0.181058,0.046,-0.017,0.050,,,,,,,,
0.200555,-0.232,-0.012,0.135,,,,,,,,
0.220229,-0.093,-0.011,-0.050,,,,,,,,
0.240081,-0.208,-0.015,0.034,,,,,,,,
0.260996,-0.427,-0.014,0.017,,,,,,,,
0.279961,-0.291,-0.017,0.050,,,,,,,,
0.300345,-0.503,-0.016,-0.050,,,,,,,,
