Sample,temperature,Tp,Hall,voltage,UH,Sample.1,voltage.1,Up,Sample.2,current,Ip,Flux,density,B
Tp/°C,UH/mV,Up/V,Ip/mA,B/mT,,,,,,,,,,
23.5,47.454,1.542,30,301.248,,,,,,,,,,
23.6,47.295,1.541,30,303.890,,,,,,,,,,
23.7,47.421,1.540,30,304.418,,,,,,,,,,
23.9,47.216,1.543,30,296.845,,,,,,,,,,
24.7,47.236,1.546,30,296.669,,,,,,,,,,
25.9,47.197,1.561,30,297.198,,,,,,,,,,
27.2,47.216,1.574,30,300.191,,,,,,,,,,
29.6,47.315,1.598,30,296.845,,,,,,,,,,
31.4,47.302,1.618,30,296.317,,,,,,,,,,
34.1,47.322,1.646,30,295.613,,,,,,,,,,
36.2,47.315,1.666,30,294.908,,,,,,,,,,
39.2,47.374,1.700,30,294.380,,,,,,,,,,
41.3,47.246,1.723,30,296.845,,,,,,,,,,
43.5,47.127,1.746,30,295.965,,,,,,,,,,
46.7,46.903,1.778,30,294.908,,,,,,,,,,
49.0,46.617,1.798,30,294.380,,,,,,,,,,
52.1,46.113,1.831,30,289.801,,,,,,,,,,
54.3,45.612,1.848,30,288.921,,,,,,,,,,
57.6,44.657,1.875,30,287.512,,,,,,,,,,
59.8,43.764,1.889,30,543.571,,,,,,,,,,
62.9,42.289,1.904,30,285.574,,,,,,,,,,
65.1,40.984,1.913,30,542.514,,,,,,,,,,
67.9,38.807,1.918,30,283.285,,,,,,,,,,
70.0,37.107,1.916,30,282.581,,,,,,,,,,
72.1,35.282,1.913,30,281.876,,,,,,,,,,
74.9,32.077,1.895,30,280.467,,,,,,,,,,
76.8,29.814,1.881,30,279.763,,,,,,,,,,
79.6,26.089,1.852,30,278.354,,,,,,,,,,
81.5,23.467,1.825,30,278.002,,,,,,,,,,
84.1,19.461,1.779,30,276.945,,,,,,,,,,
85.8,16.628,1.742,30,276.065,,,,,,,,,,
88.4,12.652,1.684,30,275.184,,,,,,,,,,
90.0,9.978,1.642,30,274.304,,,,,,,,,,
91.3,7.494,1.600,30,273.775,,,,,,,,,,
93.9,3.920,1.529,30,272.719,,,,,,,,,,
95.5,1.756,1.486,30,272.366,,,,,,,,,,
97.6,-1.209,1.411,30,271.310,,,,,,,,,,
98.9,-3.007,1.366,30,270.782,,,,,,,,,,
101.3,-5.386,1.294,30,270.253,,,,,,,,,,
102.9,-6.763,1.249,30,272.719,,,,,,,,,,
105.0,-8.475,1.180,30,268.668,,,,,,,,,,
106.4,-9.421,1.138,30,267.964,,,,,,,,,,
108.0,-10.221,1.094,30,267.436,,,,,,,,,,
110.2,-11.233,1.035,30,270.253,,,,,,,,,,
111.5,-11.760,0.998,30,269.549,,,,,,,,,,
113.1,-12.379,0.945,30,265.674,,,,,,,,,,
113.9,-12.745,0.892,30,262.681,,,,,,,,,,
114.0,-12.662,0.917,30,265.146,,,,,,,,,,
114.4,-12.873,0.881,30,262.681,,,,,,,,,,
114.8,-12.929,0.871,30,262.681,,,,,,,,,,
115.2,-12.903,0.887,30,264.442,,,,,,,,,,
115.4,-12.998,0.873,30,528.602,,,,,,,,,,
115.4,-12.985,0.862,30,262.857,,,,,,,,,,
115.7,-13.064,0.862,30,528.249,,,,,,,,,,
115.7,-13.038,0.857,30,263.209,,,,,,,,,,
115.8,-13.087,0.852,30,527.545,,,,,,,,,,
116.1,-13.100,0.850,30,527.897,,,,,,,,,,
116.1,-13.097,0.852,30,263.385,,,,,,,,,,
116.1,-13.094,0.850,30,263.209,,,,,,,,,,
