Sample,temperature,Tp,Hall,voltage,UH,Sample.1,voltage.1,Up,Sample.2,current,Ip,Flux,density,B
Tp/°C,UH/mV,Up/V,Ip/mA,B/T,,,,,,,,,,
21.4,-151.244,1.373,29.664,0.304652,,,,,,,,,,
21.5,-151.568,1.377,29.647,0.304829,,,,,,,,,,
21.6,-151.568,1.370,29.714,0.301284,,,,,,,,,,
21.6,-151.618,1.372,29.731,0.301284,,,,,,,,,,
21.7,-151.618,1.369,29.849,0.304474,,,,,,,,,,
22.6,-151.492,1.374,29.782,0.301284,,,,,,,,,,
24.0,-151.892,1.377,29.782,0.301284,,,,,,,,,,
26.3,-152.289,1.383,29.798,0.301461,,,,,,,,,,
28.2,-152.498,1.386,29.782,0.301284,,,,,,,,,,
31.2,-153.153,1.402,29.798,0.301284,,,,,,,,,,
33.2,-153.669,1.411,29.714,0.301284,,,,,,,,,,
36.4,-154.907,1.428,29.765,0.301284,,,,,,,,,,
38.7,-155.317,1.444,29.698,0.554924,,,,,,,,,,
42.0,-156.115,1.460,29.681,0.300752,,,,,,,,,,
44.1,-156.661,1.476,29.647,0.300575,,,,,,,,,,
47.7,-157.481,1.491,29.698,0.300575,,,,,,,,,,
49.8,-158.031,1.508,29.714,0.300043,,,,,,,,,,
53.3,-158.421,1.521,29.765,0.300043,,,,,,,,,,
55.5,-158.841,1.539,29.681,0.299512,,,,,,,,,,
58.8,-159.060,1.547,29.731,0.299157,,,,,,,,,,
61.0,-159.020,1.559,29.698,0.298803,,,,,,,,,,
64.4,-157.951,1.567,29.748,0.298448,,,,,,,,,,
66.3,-157.475,1.563,29.698,0.298271,,,,,,,,,,
69.3,-155.976,1.570,29.698,0.297739,,,,,,,,,,
71.3,-154.248,1.557,29.647,0.300398,,,,,,,,,,
74.3,-151.687,1.545,29.798,0.296853,,,,,,,,,,
76.4,-149.397,1.537,29.798,0.296676,,,,,,,,,,
79.1,-145.456,1.511,29.782,0.296144,,,,,,,,,,
81.2,-142.517,1.492,29.681,0.298980,,,,,,,,,,
83.9,-137.792,1.465,29.765,0.295080,,,,,,,,,,
85.7,-134.486,1.436,29.798,0.297916,,,,,,,,,,
87.7,-130.800,1.405,29.748,0.297385,,,,,,,,,,
88.3,-111.111,1.226,29.731,0.284800,,,,,,,,,,
89.1,-109.681,1.221,29.580,0.284446,,,,,,,,,,
89.4,-108.460,1.210,29.731,0.284268,,,,,,,,,,
90.1,-106.905,1.193,29.630,0.287636,,,,,,,,,,
90.2,-125.697,1.365,29.765,0.293662,,,,,,,,,,
90.4,-106.015,1.187,29.630,0.284446,,,,,,,,,,
91.2,-104.555,1.170,29.664,0.287459,,,,,,,,,,
91.5,-103.629,1.158,29.748,0.284268,,,,,,,,,,
91.8,-121.627,1.331,29.681,0.293308,,,,,,,,,,
92.3,-101.951,1.150,29.445,0.287282,,,,,,,,,,
92.6,-101.061,1.141,29.546,0.284091,,,,,,,,,,
93.6,-99.548,1.127,29.698,0.287282,,,,,,,,,,
94.0,-98.595,1.119,29.597,0.284268,,,,,,,,,,
94.3,-115.879,1.280,29.765,0.296144,,,,,,,,,,
94.7,-97.034,1.100,29.681,0.286927,,,,,,,,,,
95.1,-96.004,1.094,29.630,0.287104,,,,,,,,,,
95.7,-94.572,1.077,29.765,0.286927,,,,,,,,,,
96.1,-112.143,1.247,29.849,0.295789,,,,,,,,,,
96.2,-93.595,1.066,29.815,0.283737,,,,,,,,,,
96.7,-92.344,1.055,29.529,0.283737,,,,,,,,,,
97.3,-91.203,1.044,29.782,0.283737,,,,,,,,,,
97.9,-89.876,1.033,29.647,0.286750,,,,,,,,,,
98.3,-106.359,1.199,29.798,0.291713,,,,,,,,,,
98.5,-89.019,1.028,29.664,0.283559,,,,,,,,,,
99.2,-87.728,1.012,29.748,0.283737,,,,,,,,,,
99.8,-86.871,1.004,29.681,0.283914,,,,,,,,,,
100.0,-85.452,0.989,29.698,0.286927,,,,,,,,,,
100.7,-84.674,0.979,29.731,0.283737,,,,,,,,,,
101.1,-83.704,0.974,29.630,0.286927,,,,,,,,,,
101.5,-83.049,0.964,29.714,0.283914,,,,,,,,,,
102.2,-97.199,1.114,29.647,0.291004,,,,,,,,,,
102.5,-81.831,0.958,29.681,0.284268,,,,,,,,,,
102.8,-81.282,0.949,29.664,0.284268,,,,,,,,,,
103.1,-80.508,0.938,29.849,0.284268,,,,,,,,,,
103.3,-93.969,1.079,29.714,0.293485,,,,,,,,,,
103.7,-79.939,0.934,29.815,0.284623,,,,,,,,,,
104.2,-79.257,0.928,29.681,0.287991,,,,,,,,,,
104.2,-89.671,1.036,29.782,0.289940,,,,,,,,,,
104.5,-78.962,0.924,29.782,0.288168,,,,,,,,,,
104.5,-87.189,1.013,29.731,0.289763,,,,,,,,,,
104.9,-78.506,0.920,29.698,0.288345,,,,,,,,,,
105.2,-84.188,0.987,29.647,0.288877,,,,,,,,,,
105.3,-78.360,0.918,29.765,0.285332,,,,,,,,,,
105.3,-78.201,0.923,29.647,0.289231,,,,,,,,,,
105.5,-78.473,0.922,29.782,0.286395,,,,,,,,,,
105.7,-82.692,0.973,29.630,0.288522,,,,,,,,,,
105.8,-79.307,0.934,29.664,0.286927,,,,,,,,,,
105.8,-78.701,0.929,29.664,0.289763,,,,,,,,,,
105.9,-80.286,0.944,29.664,0.287636,,,,,,,,,,
105.9,-81.014,0.952,29.630,0.288168,,,,,,,,,,
